time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,Tret1,Tret2,Tret3,Tret4,Tret5,Tret6,Tret7,Tret8,Tret9,Tret10,Tret11,Tret12,Tret13,Tret14,Tret15,Tret16,Tret17,Tret18,Tret19,Tret20,Tret21,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
2020-01-03 00:00:00,19.78,19.77,19.78,19.84,19.78,19.82,19.84,19.83,19.83,19.84,19.84,19.8,19.83,19.84,19.83,19.84,19.84,19.84,19.8,19.83,19.84,1.88,0.0,0.367,0.501,0.342,0.334,0.599,0.36,0.315,0.345,0.338,0.323,0.309,0.392,0.337,0.318,0.341,0.322,0.319,0.311,0.396,0.34,0.317,36.0,23.0,23.0,610.05,838.14,599.02,299.74,62.6,85.24,171.36,465.97,490.33,464.3,281.36,45.11,80.1,174.71,467.95,477.4,465.83,287.76,45.7,82.58,185.23,24.61,25.22,24.5,22.73,25.8,21.08,20.3,23.43,23.29,23.45,22.95,25.0,21.12,20.33,23.47,23.25,23.48,23.01,25.11,21.16,20.35,0.012812,0.018596,0.012465,0.005406,0.001469,0.001366,0.002611,0.00887,0.009227,0.008851,0.005157,0.000981,0.001288,0.002667,0.008936,0.008955,0.008898,0.005301,0.001004,0.001331,0.002832
2020-01-03 00:15:00,20.27,20.25,20.22,20.35,20.09,20.05,19.94,20.01,20.04,20.07,20.02,19.92,19.89,19.87,20.05,20.07,20.08,20.04,19.95,19.91,19.87,1.74,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.38,23.0,23.0,1169.69,1268.75,1206.5,680.1,83.92,205.99,498.71,1142.33,1222.65,1201.04,775.15,93.58,218.1,517.31,1157.57,1244.06,1216.76,785.77,93.85,222.86,550.57,27.33,27.17,27.43,25.29,27.16,22.36,20.94,24.73,24.62,24.87,24.23,26.4,21.68,20.57,24.8,24.65,24.93,24.31,26.49,21.73,20.61,0.034874,0.037091,0.036463,0.016169,0.002451,0.003794,0.008278,0.025735,0.027268,0.027432,0.016678,0.002501,0.003818,0.008375,0.026239,0.027804,0.027934,0.017029,0.002535,0.003915,0.008939
2020-01-03 00:30:00,20.68,20.64,20.58,20.69,20.39,20.28,20.09,20.31,20.37,20.46,20.31,20.1,20.02,19.94,20.42,20.46,20.52,20.38,20.16,20.08,19.96,1.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1229.58,1324.36,1264.15,711.79,88.01,214.57,518.9,1106.15,1180.18,1152.61,751.91,89.9,220.73,531.95,1118.22,1195.59,1164.87,761.19,90.23,225.38,565.47,27.55,27.44,27.69,25.45,27.39,22.45,20.99,25.7,25.63,25.93,25.2,27.38,22.15,20.79,25.79,25.7,26.01,25.29,27.47,22.21,20.85,0.034874,0.037091,0.036463,0.016169,0.002451,0.003794,0.008278,0.025735,0.027268,0.027432,0.016678,0.002501,0.003818,0.008375,0.026239,0.027804,0.027934,0.017029,0.002535,0.003915,0.008939
2020-01-03 00:45:00,20.76,20.74,20.67,20.81,20.5,20.4,20.2,20.56,20.65,20.79,20.56,20.25,20.16,20.04,20.76,20.8,20.88,20.67,20.32,20.24,20.08,1.46,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1184.42,1270.99,1214.61,693.1,84.29,212.71,517.63,1047.24,1115.15,1084.5,713.09,84.75,215.91,526.97,1056.08,1125.69,1093.7,720.63,84.99,220.22,559.51,27.87,27.8,28.03,25.75,27.77,22.59,21.04,26.26,26.22,26.54,25.77,27.89,22.47,20.95,26.37,26.31,26.63,25.88,27.98,22.54,21.03,0.034874,0.037091,0.036463,0.016169,0.002451,0.003794,0.008278,0.025735,0.027268,0.027432,0.016678,0.002501,0.003818,0.008375,0.026239,0.027804,0.027934,0.017029,0.002535,0.003915,0.008939
2020-01-03 01:00:00,20.78,20.78,20.72,20.89,20.55,20.45,20.3,20.73,20.81,21.01,20.71,20.31,20.26,20.12,20.99,21.02,21.12,20.89,20.5,20.39,20.18,1.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1182.13,1262.91,1209.32,690.43,83.89,212.14,516.57,1007.69,1071.12,1038.83,686.41,81.69,212.11,522.42,1013.31,1078.13,1045.66,692.57,81.95,216.15,554.03,27.89,27.85,28.07,25.78,27.81,22.62,21.07,26.63,26.6,26.94,26.15,28.19,22.71,21.08,26.76,26.72,27.04,26.27,28.27,22.79,21.17,0.034874,0.037091,0.036463,0.016169,0.002451,0.003794,0.008278,0.025735,0.027268,0.027432,0.016678,0.002501,0.003818,0.008375,0.026239,0.027804,0.027934,0.017029,0.002535,0.003915,0.008939
2020-01-03 01:15:00,20.82,20.84,20.77,20.96,20.61,20.51,20.38,20.91,20.96,21.19,20.86,20.44,20.35,20.19,21.16,21.19,21.31,21.06,20.64,20.52,20.27,1.33,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1181.45,1256.58,1205.59,688.17,83.6,211.65,515.33,980.97,1041.63,1007.93,668.24,79.91,209.2,518.61,984.07,1045.63,1013.05,672.93,79.98,212.91,549.39,27.9,27.9,28.09,25.82,27.84,22.66,21.11,26.88,26.86,27.21,26.41,28.36,22.89,21.19,27.03,27.0,27.32,26.55,28.45,22.99,21.3,0.034874,0.037091,0.036463,0.016169,0.002451,0.003794,0.008278,0.025735,0.027268,0.027432,0.016678,0.002501,0.003818,0.008375,0.026239,0.027804,0.027934,0.017029,0.002535,0.003915,0.008939
2020-01-03 01:30:00,20.86,20.89,20.82,21.03,20.66,20.56,20.46,21.04,21.08,21.34,20.97,20.48,20.44,20.26,21.31,21.35,21.46,21.21,20.78,20.65,20.35,1.27,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1180.41,1249.83,1201.92,686.13,83.31,211.16,514.23,961.23,1020.25,985.59,654.83,78.64,206.86,515.31,962.83,1022.12,989.55,658.41,78.63,210.27,545.35,27.9,27.94,28.11,25.85,27.87,22.69,21.14,27.06,27.05,27.4,26.61,28.48,23.04,21.28,27.22,27.21,27.53,26.75,28.58,23.15,21.4,0.034874,0.037091,0.036463,0.016169,0.002451,0.003794,0.008278,0.025735,0.027268,0.027432,0.016678,0.002501,0.003818,0.008375,0.026239,0.027804,0.027934,0.017029,0.002535,0.003915,0.008939
2020-01-03 01:45:00,20.92,20.95,20.88,21.11,20.72,20.62,20.54,21.17,21.19,21.47,21.08,20.58,20.53,20.33,21.44,21.47,21.59,21.34,20.88,20.76,20.43,1.21,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1166.26,1235.39,1187.59,677.04,82.39,209.6,511.56,946.15,1003.97,968.44,644.48,77.78,204.9,512.37,946.54,1004.02,971.62,646.97,77.59,208.01,541.75,28.0,28.03,28.21,25.98,27.96,22.79,21.22,27.2,27.19,27.55,26.76,28.56,23.16,21.36,27.37,27.36,27.68,26.91,28.68,23.29,21.5,0.034874,0.037091,0.036463,0.016169,0.002451,0.003794,0.008278,0.025735,0.027268,0.027432,0.016678,0.002501,0.003818,0.008375,0.026239,0.027804,0.027934,0.017029,0.002535,0.003915,0.008939
2020-01-03 02:00:00,20.99,21.02,20.95,21.2,20.78,20.69,20.62,21.27,21.29,21.58,21.18,20.63,20.61,20.39,21.55,21.59,21.71,21.46,21.0,20.87,20.5,1.15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1152.25,1221.11,1173.64,668.16,81.5,208.07,508.95,933.71,990.85,954.54,636.03,77.05,203.2,509.68,933.44,989.56,957.26,637.66,76.76,206.05,538.48,28.1,28.12,28.3,26.11,28.05,22.88,21.29,27.32,27.31,27.68,26.88,28.63,23.27,21.44,27.49,27.49,27.8,27.04,28.76,23.41,21.59,0.034874,0.037091,0.036463,0.016169,0.002451,0.003794,0.008278,0.025735,0.027268,0.027432,0.016678,0.002501,0.003818,0.008375,0.026239,0.027804,0.027934,0.017029,0.002535,0.003915,0.008939
2020-01-03 02:15:00,21.06,21.09,21.03,21.29,20.85,20.76,20.69,21.38,21.38,21.69,21.28,20.72,20.69,20.46,21.65,21.69,21.82,21.57,21.09,20.96,20.58,1.09,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1138.04,1206.76,1159.49,659.21,80.59,206.51,506.3,923.28,979.81,942.76,628.86,76.48,201.69,507.18,922.46,977.4,945.25,629.71,76.04,204.27,535.46,28.19,28.22,28.39,26.25,28.13,22.98,21.37,27.42,27.4,27.78,26.98,28.68,23.36,21.51,27.59,27.59,27.9,27.15,28.82,23.52,21.67,0.034874,0.037091,0.036463,0.016169,0.002451,0.003794,0.008278,0.025735,0.027268,0.027432,0.016678,0.002501,0.003818,0.008375,0.026239,0.027804,0.027934,0.017029,0.002535,0.003915,0.008939
