time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,u22,u23,u24,u25,u26,u27
2020-01-03 00:00:00,19.72,19.78,19.74,19.88,19.89,19.84,19.89,19.82,19.84,19.81,19.83,19.82,19.82,19.84,19.85,19.82,19.82,19.84,19.81,19.84,19.82,19.82,19.85,19.86,19.83,19.82,19.84,1.88,0.0,0.787,0.61,0.454,0.04,0.134,0.244,0.632,0.382,0.316,0.379,0.332,0.361,0.357,0.313,0.297,0.356,0.354,0.318,0.386,0.311,0.36,0.355,0.302,0.286,0.342,0.35,0.317
2020-01-03 00:15:00,20.21,20.27,20.24,20.54,20.46,20.5,20.41,20.06,19.96,20.0,20.03,20.08,20.05,20.05,20.08,20.04,19.9,19.87,20.04,20.06,20.09,20.07,20.08,20.11,20.07,19.92,19.88,1.74,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:30:00,20.56,20.69,20.64,20.91,20.77,20.74,20.86,20.32,20.12,20.25,20.32,20.42,20.36,20.32,20.38,20.31,20.04,19.95,20.32,20.41,20.46,20.41,20.39,20.44,20.4,20.08,19.97,1.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:45:00,20.56,20.74,20.7,20.96,20.84,20.83,20.9,20.43,20.23,20.41,20.57,20.68,20.6,20.52,20.6,20.52,20.18,20.05,20.52,20.71,20.74,20.69,20.64,20.71,20.69,20.26,20.09,1.46,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:00:00,20.59,20.78,20.72,21.0,20.88,20.89,20.93,20.47,20.35,20.63,20.7,20.86,20.73,20.61,20.71,20.57,20.27,20.13,20.67,20.86,20.93,20.83,20.74,20.83,20.72,20.35,20.19,1.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:15:00,20.62,20.82,20.76,21.03,20.91,20.95,20.95,20.51,20.41,20.72,20.85,21.0,20.87,20.74,20.84,20.72,20.37,20.2,20.78,21.06,21.08,21.01,20.94,21.01,20.98,20.51,20.28,1.33,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:30:00,20.65,20.85,20.79,21.06,20.95,21.01,20.99,20.57,20.51,20.9,20.95,21.12,20.96,20.81,20.92,20.76,20.45,20.27,20.88,21.17,21.2,21.11,21.0,21.1,20.98,20.59,20.36,1.27,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:45:00,20.7,20.92,20.84,21.13,21.01,21.07,21.03,20.62,20.57,20.95,21.06,21.22,21.06,20.91,21.02,20.86,20.54,20.34,20.96,21.32,21.3,21.23,21.15,21.23,21.17,20.73,20.44,1.21,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:00:00,20.75,20.99,20.9,21.2,21.07,21.14,21.09,20.68,20.65,21.1,21.15,21.32,21.14,20.97,21.09,20.91,20.62,20.41,21.04,21.4,21.4,21.31,21.2,21.29,21.17,20.79,20.52,1.15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:15:00,20.8,21.06,20.96,21.28,21.14,21.21,21.15,20.75,20.72,21.14,21.25,21.41,21.22,21.05,21.17,20.99,20.69,20.47,21.11,21.53,21.48,21.41,21.33,21.4,21.32,20.92,20.59,1.09,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:30:00,20.85,21.13,21.03,21.36,21.21,21.28,21.21,20.82,20.79,21.27,21.32,21.49,21.29,21.11,21.23,21.04,20.77,20.53,21.18,21.59,21.56,21.47,21.37,21.45,21.32,20.97,20.66,1.04,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
