time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,Tret1,Tret2,Tret3,Tret4,Tret5,Tret6,Tret7,Tret8,Tret9,Tret10,Tret11,Tret12,Tret13,Tret14,Tret15,Tret16,Tret17,Tret18,Tret19,Tret20,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
2020-01-03 00:00:00,19.7,20.37,20.3,19.84,19.89,19.82,19.84,19.87,19.87,19.84,19.82,19.84,19.86,19.87,19.84,19.81,19.84,19.85,19.86,19.84,1.88,0.0,0.008,0.0,0.0,0.727,0.229,0.359,0.313,0.267,0.264,0.323,0.359,0.307,0.268,0.264,0.325,0.372,0.318,0.287,0.276,0.326,36.0,23.0,23.0,8.89,0.0,0.0,1230.33,74.36,274.25,518.63,208.44,431.55,103.85,277.21,515.99,209.52,434.28,104.46,297.18,557.85,230.3,472.77,131.95,21.92,36.0,36.0,26.32,20.37,23.69,22.93,22.97,22.52,20.6,23.76,22.95,23.04,22.55,20.6,23.98,23.15,23.31,22.76,20.78,0.000151,0.0,0.0,0.030409,0.001139,0.00533,0.009496,0.003826,0.007662,0.001613,0.005419,0.009456,0.003866,0.007726,0.001622,0.005914,0.010384,0.004341,0.008545,0.002074
2020-01-03 00:15:00,20.29,20.71,20.76,20.37,20.06,20.08,20.09,20.12,20.12,19.89,20.09,20.1,20.12,20.12,19.89,20.1,20.1,20.14,20.14,19.9,1.74,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.3,23.0,23.0,648.29,1452.74,626.78,1450.65,286.58,639.07,1402.47,642.1,1375.4,298.63,644.6,1418.38,644.1,1384.81,299.08,663.55,1472.44,658.78,1435.08,373.15,27.49,27.16,27.59,26.97,21.47,24.99,24.22,24.54,23.93,20.96,25.07,24.26,24.6,23.96,20.96,25.28,24.48,24.84,24.18,21.23,0.019923,0.042866,0.019529,0.041818,0.004968,0.014866,0.030358,0.014309,0.029005,0.004992,0.015109,0.030802,0.014437,0.02929,0.004999,0.015894,0.032633,0.015104,0.030958,0.006358
2020-01-03 00:30:00,20.7,20.92,20.96,20.8,20.28,20.51,20.49,20.56,20.61,19.99,20.55,20.51,20.62,20.62,19.99,20.57,20.55,20.63,20.65,20.05,1.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,684.61,1516.42,658.98,1531.22,300.15,621.68,1366.41,614.49,1330.85,307.06,626.56,1379.68,616.56,1339.26,307.53,644.31,1429.21,631.02,1385.66,381.86,27.77,27.53,27.92,27.23,21.54,25.99,25.23,25.72,25.02,21.28,26.07,25.28,25.78,25.06,21.28,26.3,25.52,26.0,25.29,21.62,0.019923,0.042866,0.019529,0.041818,0.004968,0.014866,0.030358,0.014309,0.029005,0.004992,0.015109,0.030802,0.014437,0.02929,0.004999,0.015894,0.032633,0.015104,0.030958,0.006358
2020-01-03 00:45:00,20.83,21.06,21.1,20.92,20.43,20.86,20.83,20.86,21.0,20.1,20.88,20.86,21.01,21.01,20.1,20.94,20.93,21.03,21.07,20.19,1.46,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,682.61,1509.67,660.97,1522.41,299.26,585.02,1288.8,573.44,1249.47,302.38,589.27,1299.93,574.71,1256.84,302.85,604.82,1343.07,587.98,1297.8,374.44,27.8,27.57,27.9,27.29,21.59,26.59,25.84,26.41,25.69,21.51,26.67,25.9,26.48,25.73,21.51,26.9,26.15,26.69,25.97,21.91,0.019923,0.042866,0.019529,0.041818,0.004968,0.014866,0.030358,0.014309,0.029005,0.004992,0.015109,0.030802,0.014437,0.02929,0.004999,0.015894,0.032633,0.015104,0.030958,0.006358
2020-01-03 01:00:00,20.81,21.07,21.08,20.94,20.52,21.11,21.09,21.06,21.28,20.21,21.13,21.12,21.27,21.29,20.21,21.2,21.21,21.3,21.37,20.33,1.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,654.88,1448.95,636.93,1463.93,297.2,561.56,1237.51,547.84,1195.68,298.7,565.71,1247.59,548.12,1202.43,299.16,580.04,1286.88,560.69,1239.93,368.65,28.14,27.91,28.2,27.63,21.69,26.96,26.25,26.84,26.14,21.68,27.04,26.31,26.92,26.18,21.68,27.27,26.57,27.12,26.42,22.13,0.019923,0.042866,0.019529,0.041818,0.004968,0.014866,0.030358,0.014309,0.029005,0.004992,0.015109,0.030802,0.014437,0.02929,0.004999,0.015894,0.032633,0.015104,0.030958,0.006358
2020-01-03 01:15:00,20.83,21.11,21.08,20.96,20.63,21.3,21.3,21.17,21.49,20.29,21.32,21.32,21.48,21.5,20.29,21.38,21.42,21.51,21.59,20.45,1.33,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,654.71,1442.76,639.52,1458.91,296.52,545.39,1200.79,530.21,1157.07,295.68,549.23,1209.92,529.88,1163.41,296.14,562.84,1246.58,542.11,1198.43,363.91,28.14,27.95,28.17,27.65,21.72,27.22,26.54,27.14,26.46,21.83,27.3,26.6,27.22,26.5,21.83,27.53,26.86,27.41,26.74,22.31,0.019923,0.042866,0.019529,0.041818,0.004968,0.014866,0.030358,0.014309,0.029005,0.004992,0.015109,0.030802,0.014437,0.02929,0.004999,0.015894,0.032633,0.015104,0.030958,0.006358
2020-01-03 01:30:00,20.86,21.15,21.09,21.0,20.69,21.47,21.47,21.32,21.67,20.38,21.48,21.5,21.66,21.68,20.38,21.53,21.59,21.68,21.77,20.55,1.27,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,654.93,1437.12,642.55,1455.53,295.6,533.4,1173.05,518.11,1128.19,293.14,537.2,1181.64,516.63,1134.22,293.6,550.45,1216.6,528.63,1167.58,359.94,28.14,27.98,28.13,27.67,21.77,27.42,26.76,27.34,26.69,21.95,27.49,26.82,27.44,26.74,21.95,27.71,27.08,27.63,26.98,22.46,0.019923,0.042866,0.019529,0.041818,0.004968,0.014866,0.030358,0.014309,0.029005,0.004992,0.015109,0.030802,0.014437,0.02929,0.004999,0.015894,0.032633,0.015104,0.030958,0.006358
2020-01-03 01:45:00,20.92,21.21,21.15,21.06,20.79,21.61,21.63,21.4,21.82,20.46,21.61,21.65,21.8,21.84,20.46,21.66,21.74,21.83,21.92,20.65,1.21,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,647.74,1423.53,634.43,1438.82,293.76,524.07,1151.1,508.75,1105.61,290.93,527.93,1159.37,506.45,1111.42,291.39,541.06,1193.27,518.43,1143.69,356.5,28.22,28.06,28.23,27.77,21.85,27.57,26.93,27.49,26.88,22.06,27.64,27.0,27.61,26.92,22.05,27.86,27.25,27.79,27.16,22.59,0.019923,0.042866,0.019529,0.041818,0.004968,0.014866,0.030358,0.014309,0.029005,0.004992,0.015109,0.030802,0.014437,0.02929,0.004999,0.015894,0.032633,0.015104,0.030958,0.006358
2020-01-03 02:00:00,20.99,21.28,21.21,21.13,20.86,21.74,21.77,21.51,21.96,20.53,21.73,21.79,21.93,21.98,20.53,21.78,21.88,21.96,22.06,20.75,1.15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,640.6,1410.09,626.37,1422.49,291.83,516.43,1132.96,501.59,1087.13,288.96,520.4,1140.97,498.3,1092.74,289.42,533.5,1174.16,510.22,1124.23,353.43,28.31,28.13,28.33,27.86,21.95,27.69,27.07,27.61,27.03,22.15,27.76,27.14,27.74,27.07,22.15,27.97,27.39,27.92,27.31,22.7,0.019923,0.042866,0.019529,0.041818,0.004968,0.014866,0.030358,0.014309,0.029005,0.004992,0.015109,0.030802,0.014437,0.02929,0.004999,0.015894,0.032633,0.015104,0.030958,0.006358
2020-01-03 02:15:00,21.05,21.34,21.27,21.2,20.95,21.86,21.89,21.59,22.09,20.61,21.85,21.92,22.05,22.1,20.61,21.88,22.0,22.08,22.19,20.84,1.09,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,633.35,1396.6,618.14,1405.79,290.01,509.93,1117.37,495.45,1071.41,287.15,514.0,1125.19,491.45,1076.85,287.61,527.14,1157.9,503.38,1107.76,350.63,28.39,28.21,28.43,27.96,22.03,27.79,27.19,27.72,27.16,22.24,27.86,27.26,27.86,27.2,22.24,28.07,27.51,28.03,27.44,22.81,0.019923,0.042866,0.019529,0.041818,0.004968,0.014866,0.030358,0.014309,0.029005,0.004992,0.015109,0.030802,0.014437,0.02929,0.004999,0.015894,0.032633,0.015104,0.030958,0.006358
