time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,u22,u23,u24,u25,u26,u27,u28,u29,u30,u31,u32,u33,u34,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,Tret1,Tret2,Tret3,Tret4,Tret5,Tret6,Tret7,Tret8,Tret9,Tret10,Tret11,Tret12,Tret13,Tret14,Tret15,Tret16,Tret17,Tret18,Tret19,Tret20,Tret21,Tret22,Tret23,Tret24,Tret25,Tret26,Tret27,Tret28,Tret29,Tret30,Tret31,Tret32,Tret33,Tret34,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34
2020-01-03 00:00:00,20.47,20.22,20.57,19.8,20.28,19.61,20.56,20.26,20.17,20.18,19.71,20.43,20.16,20.48,20.29,20.28,19.98,19.82,19.86,19.81,19.77,19.75,19.46,19.81,19.85,19.78,19.78,19.58,19.84,19.84,19.82,19.86,19.87,19.86,2.7,0.0,0.0,0.0,0.0,0.414,0.0,0.801,0.0,0.0,0.0,0.0,0.595,0.0,0.0,0.0,0.0,0.0,0.039,0.363,0.205,0.308,0.468,0.478,1.0,0.314,0.257,0.426,0.431,0.851,0.216,0.293,0.291,0.212,0.192,0.284,36.0,23.0,23.0,0.0,0.0,0.0,51.2,0.0,116.45,0.0,0.0,0.0,0.0,59.94,0.0,0.0,0.0,0.0,0.0,69.83,421.45,68.08,691.73,51.5,189.89,110.92,336.72,150.3,101.47,102.03,57.56,241.5,60.25,355.56,131.92,98.05,950.83,36.0,36.0,36.0,26.31,36.0,31.44,36.0,36.0,36.0,36.0,32.45,36.0,36.0,36.0,36.0,36.0,19.93,27.26,25.86,27.96,27.77,30.06,32.66,27.83,25.9,30.49,27.33,33.69,27.05,26.04,28.76,28.25,26.38,20.23,0.0,0.0,0.0,0.001264,0.0,0.006107,0.0,0.0,0.0,0.0,0.004037,0.0,0.0,0.0,0.0,0.0,0.001039,0.01154,0.001607,0.020586,0.001498,0.007642,0.007937,0.009862,0.00356,0.004402,0.002815,0.005957,0.006458,0.001446,0.011744,0.004071,0.002438,0.014427
2020-01-03 00:15:00,20.77,20.41,21.02,19.99,20.41,19.67,20.78,20.71,20.29,20.35,19.77,20.82,20.38,20.75,20.56,20.62,20.07,20.01,20.25,20.13,19.91,19.93,19.54,20.1,20.16,19.93,19.96,19.66,20.16,20.07,20.07,20.13,20.18,19.89,3.03,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,738.85,193.03,1269.64,84.08,266.7,123.5,648.57,335.82,146.18,165.71,65.78,594.88,128.38,665.57,291.12,261.78,1725.11,901.26,243.98,1643.16,90.56,297.85,110.73,790.51,447.54,164.07,194.79,60.16,790.28,161.73,846.78,388.15,351.86,3291.29,31.1,30.87,31.24,29.41,31.84,32.12,30.8,29.86,32.49,29.61,33.68,31.03,29.48,31.9,32.24,30.85,20.47,29.21,28.56,30.11,29.22,31.55,32.66,29.98,28.26,32.2,28.86,33.94,29.68,28.16,30.99,31.15,29.36,20.49,0.036092,0.009006,0.063798,0.003054,0.015326,0.007619,0.029825,0.013094,0.009957,0.006209,0.006789,0.02866,0.004712,0.03882,0.018505,0.012166,0.026572,0.031768,0.007843,0.06679,0.003198,0.015996,0.007937,0.031389,0.013828,0.01033,0.006529,0.006999,0.029926,0.004934,0.040417,0.01916,0.012678,0.05077
2020-01-03 00:30:00,20.93,20.56,21.16,20.17,20.54,19.8,20.94,20.92,20.41,20.5,19.89,20.99,20.54,20.9,20.73,20.8,20.22,20.29,20.65,20.44,20.14,20.14,19.73,20.41,20.51,20.12,20.21,19.84,20.5,20.4,20.36,20.46,20.52,19.98,3.35,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,738.08,193.17,1273.69,84.82,265.94,123.2,642.61,340.6,146.03,166.05,65.78,598.67,129.43,667.39,292.76,264.26,1723.93,772.04,201.53,1375.65,80.63,262.81,110.14,662.43,377.6,142.42,172.6,58.85,646.11,138.41,696.16,300.81,283.47,3244.05,31.11,30.87,31.22,29.35,31.85,32.13,30.85,29.78,32.49,29.6,33.68,31.0,29.43,31.89,32.22,30.8,20.48,30.19,29.85,31.07,29.97,32.07,32.68,30.95,29.47,32.7,29.68,33.99,30.83,29.29,31.88,32.24,30.65,20.71,0.036092,0.009006,0.063798,0.003054,0.015326,0.007619,0.029825,0.013094,0.009957,0.006209,0.006789,0.02866,0.004712,0.03882,0.018505,0.012166,0.026572,0.031768,0.007843,0.06679,0.003198,0.015996,0.007937,0.031389,0.013828,0.01033,0.006529,0.006999,0.029926,0.004934,0.040417,0.01916,0.012678,0.05077
2020-01-03 00:45:00,20.95,20.61,21.19,20.22,20.56,19.85,20.98,20.97,20.44,20.55,19.95,21.04,20.59,20.92,20.74,20.84,20.32,20.4,20.89,20.65,20.35,20.29,19.93,20.64,20.81,20.3,20.4,20.05,20.77,20.6,20.55,20.65,20.79,20.12,3.68,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,683.63,179.27,1174.93,79.22,243.92,112.3,589.55,319.49,132.91,155.89,59.12,553.37,121.66,610.4,265.83,244.53,1719.35,718.72,184.37,1281.57,76.48,251.42,109.37,616.73,348.11,136.14,163.07,58.23,594.73,128.64,650.38,276.95,258.65,3207.72,31.47,31.24,31.59,29.79,32.19,32.47,31.27,30.16,32.81,29.99,33.92,31.38,29.82,32.24,32.56,31.19,20.52,30.59,30.38,31.41,30.28,32.24,32.7,31.3,29.98,32.85,30.03,34.01,31.25,29.76,32.15,32.54,31.12,20.88,0.036092,0.009006,0.063798,0.003054,0.015326,0.007619,0.029825,0.013094,0.009957,0.006209,0.006789,0.02866,0.004712,0.03882,0.018505,0.012166,0.026572,0.031768,0.007843,0.06679,0.003198,0.015996,0.007937,0.031389,0.013828,0.01033,0.006529,0.006999,0.029926,0.004934,0.040417,0.01916,0.012678,0.05077
2020-01-03 01:00:00,20.99,20.65,21.24,20.27,20.6,19.89,21.04,21.03,20.48,20.6,19.98,21.09,20.64,20.96,20.78,20.89,20.36,20.66,21.05,20.75,20.38,20.33,19.91,20.71,20.84,20.31,20.5,20.01,20.82,20.59,20.61,20.66,20.79,20.23,3.57,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,679.43,178.03,1166.73,78.74,242.33,111.39,580.95,317.73,131.85,155.01,58.54,549.62,120.96,606.25,263.48,242.62,1716.5,694.93,175.68,1236.26,74.3,246.24,108.72,594.13,331.83,133.42,158.04,57.87,569.33,123.2,629.88,266.82,246.32,3176.7,31.5,31.27,31.62,29.83,32.22,32.5,31.34,30.2,32.83,30.03,33.94,31.41,29.86,32.26,32.59,31.23,20.55,30.77,30.64,31.57,30.44,32.32,32.72,31.47,30.26,32.91,30.21,34.02,31.45,30.03,32.27,32.67,31.35,21.03,0.036092,0.009006,0.063798,0.003054,0.015326,0.007619,0.029825,0.013094,0.009957,0.006209,0.006789,0.02866,0.004712,0.03882,0.018505,0.012166,0.026572,0.031768,0.007843,0.06679,0.003198,0.015996,0.007937,0.031389,0.013828,0.01033,0.006529,0.006999,0.029926,0.004934,0.040417,0.01916,0.012678,0.05077
2020-01-03 01:15:00,21.02,20.68,21.29,20.31,20.63,19.92,21.08,21.07,20.5,20.63,20.0,21.13,20.67,20.99,20.8,20.92,20.4,20.61,21.17,20.87,20.58,20.48,20.14,20.86,21.09,20.48,20.62,20.25,21.0,20.82,20.71,20.84,21.05,20.33,3.47,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,677.41,177.44,1162.44,78.46,241.75,111.09,574.45,316.76,131.53,154.57,58.39,547.91,120.6,604.82,262.4,241.56,1714.28,678.42,170.79,1212.95,73.19,243.8,108.63,583.01,323.56,132.33,155.15,57.89,557.43,120.5,620.42,262.74,240.75,3149.76,31.51,31.29,31.64,29.85,32.23,32.51,31.39,30.21,32.84,30.04,33.94,31.43,29.88,32.27,32.61,31.25,20.57,30.89,30.79,31.66,30.52,32.35,32.73,31.56,30.4,32.94,30.32,34.02,31.54,30.16,32.33,32.72,31.46,21.16,0.036092,0.009006,0.063798,0.003054,0.015326,0.007619,0.029825,0.013094,0.009957,0.006209,0.006789,0.02866,0.004712,0.03882,0.018505,0.012166,0.026572,0.031768,0.007843,0.06679,0.003198,0.015996,0.007937,0.031389,0.013828,0.01033,0.006529,0.006999,0.029926,0.004934,0.040417,0.01916,0.012678,0.05077
2020-01-03 01:30:00,21.06,20.71,21.33,20.36,20.66,19.95,21.13,21.12,20.52,20.67,20.03,21.16,20.71,21.02,20.83,20.97,20.43,20.87,21.27,20.92,20.52,20.46,20.03,20.89,21.05,20.42,20.64,20.12,21.0,20.77,20.75,20.78,20.96,20.43,3.36,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,675.52,176.94,1158.43,78.22,241.25,110.84,568.09,316.03,131.24,154.21,58.26,546.4,120.32,603.5,261.45,240.65,1712.15,670.95,167.64,1196.46,72.19,241.48,107.77,574.46,316.8,131.02,153.08,57.39,548.21,118.28,613.48,258.87,235.89,3125.83,31.52,31.3,31.66,29.87,32.23,32.52,31.44,30.23,32.85,30.06,33.95,31.44,29.89,32.28,32.62,31.27,20.59,30.95,30.89,31.71,30.6,32.39,32.75,31.62,30.52,32.97,30.39,34.04,31.62,30.26,32.37,32.77,31.55,21.27,0.036092,0.009006,0.063798,0.003054,0.015326,0.007619,0.029825,0.013094,0.009957,0.006209,0.006789,0.02866,0.004712,0.03882,0.018505,0.012166,0.026572,0.031768,0.007843,0.06679,0.003198,0.015996,0.007937,0.031389,0.013828,0.01033,0.006529,0.006999,0.029926,0.004934,0.040417,0.01916,0.012678,0.05077
2020-01-03 01:45:00,21.08,20.74,21.37,20.39,20.68,19.97,21.17,21.16,20.54,20.7,20.05,21.2,20.74,21.04,20.85,21.0,20.47,20.73,21.35,21.02,20.77,20.62,20.31,21.03,21.3,20.63,20.79,20.41,21.16,20.97,20.82,20.91,21.24,20.52,3.26,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,673.84,176.35,1155.12,77.52,240.77,110.75,565.86,314.14,131.03,153.52,58.26,543.66,119.59,602.02,260.32,239.08,1706.82,661.09,165.37,1185.84,71.77,240.57,107.97,569.57,313.38,130.79,151.77,57.62,543.32,117.17,609.2,257.61,234.0,3104.01,31.53,31.32,31.67,29.93,32.24,32.52,31.46,30.26,32.85,30.08,33.95,31.46,29.93,32.29,32.63,31.3,20.63,31.02,30.96,31.75,30.63,32.4,32.75,31.66,30.58,32.97,30.44,34.03,31.66,30.32,32.39,32.78,31.58,21.37,0.036092,0.009006,0.063798,0.003054,0.015326,0.007619,0.029825,0.013094,0.009957,0.006209,0.006789,0.02866,0.004712,0.03882,0.018505,0.012166,0.026572,0.031768,0.007843,0.06679,0.003198,0.015996,0.007937,0.031389,0.013828,0.01033,0.006529,0.006999,0.029926,0.004934,0.040417,0.01916,0.012678,0.05077
2020-01-03 02:00:00,21.18,20.82,21.48,20.48,20.77,20.04,21.27,21.24,20.62,20.77,20.1,21.3,20.81,21.15,20.94,21.08,20.51,20.92,21.43,21.07,20.77,20.62,20.26,21.05,21.28,20.6,20.83,20.34,21.17,20.97,20.86,20.92,21.19,20.59,3.16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,721.49,188.48,1240.76,81.83,260.97,121.0,606.24,331.14,143.17,162.2,64.63,581.84,125.98,653.32,283.69,255.11,1702.5,657.07,163.6,1176.76,71.14,239.27,107.48,564.77,309.47,130.11,150.52,57.38,538.35,115.98,605.92,255.95,231.32,3083.2,31.22,30.99,31.35,29.59,31.93,32.2,31.14,29.95,32.56,29.75,33.72,31.14,29.6,31.97,32.33,30.98,20.67,31.05,31.01,31.78,30.68,32.42,32.76,31.7,30.65,32.99,30.48,34.04,31.7,30.38,32.41,32.8,31.64,21.47,0.036092,0.009006,0.063798,0.003054,0.015326,0.007619,0.029825,0.013094,0.009957,0.006209,0.006789,0.02866,0.004712,0.03882,0.018505,0.012166,0.026572,0.031768,0.007843,0.06679,0.003198,0.015996,0.007937,0.031389,0.013828,0.01033,0.006529,0.006999,0.029926,0.004934,0.040417,0.01916,0.012678,0.05077
2020-01-03 02:15:00,21.23,20.87,21.53,20.54,20.82,20.09,21.33,21.31,20.66,20.83,20.14,21.35,20.87,21.19,20.98,21.14,20.57,20.97,21.5,21.12,20.84,20.67,20.3,21.11,21.36,20.64,20.89,20.38,21.23,21.03,20.9,20.96,21.26,20.68,3.07,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,720.95,188.21,1239.67,81.23,261.16,121.31,604.98,329.64,143.43,161.7,64.91,580.15,125.39,653.5,283.39,253.96,1696.85,652.7,162.07,1168.4,70.57,237.9,106.95,560.65,306.34,129.38,149.36,57.11,534.13,114.97,602.28,254.3,229.22,3064.11,31.22,31.0,31.35,29.64,31.92,32.19,31.15,29.98,32.55,29.77,33.71,31.16,29.63,31.97,32.34,31.01,20.72,31.08,31.06,31.81,30.72,32.44,32.78,31.73,30.7,33.0,30.53,34.05,31.73,30.43,32.44,32.82,31.67,21.56,0.036092,0.009006,0.063798,0.003054,0.015326,0.007619,0.029825,0.013094,0.009957,0.006209,0.006789,0.02866,0.004712,0.03882,0.018505,0.012166,0.026572,0.031768,0.007843,0.06679,0.003198,0.015996,0.007937,0.031389,0.013828,0.01033,0.006529,0.006999,0.029926,0.004934,0.040417,0.01916,0.012678,0.05077
