time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,Tret1,Tret2,Tret3,Tret4,Tret5,Tret6,Tret7,Tret8,Tret9,Tret10,Tret11,Tret12,Tret13,Tret14,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14
2020-01-03 00:00:00,19.9,19.81,19.85,19.84,19.86,19.91,19.83,19.87,19.86,19.86,19.86,19.87,19.94,19.85,2.7,0.0,0.503,0.434,0.336,0.359,0.337,0.207,0.36,0.334,0.326,0.334,0.36,0.332,0.196,0.306,36.0,23.0,23.0,1120.23,349.18,269.17,560.09,815.87,433.87,232.81,618.07,201.85,273.35,571.94,819.43,427.17,210.85,25.36,24.73,22.29,22.79,22.32,21.8,20.45,22.84,22.62,22.56,23.12,22.57,21.81,20.5,0.025183,0.007409,0.004697,0.010146,0.014266,0.007308,0.003582,0.011236,0.00361,0.004867,0.010626,0.014592,0.007201,0.003255
2020-01-03 00:15:00,20.31,20.17,20.22,20.31,20.3,20.43,19.99,20.08,20.02,20.02,20.06,20.06,20.17,19.88,3.03,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.58,23.0,23.0,1621.86,575.1,596.52,1137.89,1797.08,1468.57,556.71,1489.41,503.42,669.39,1277.27,2017.72,1737.2,609.77,26.81,26.5,24.34,24.93,24.39,24.59,21.16,23.95,23.67,23.57,24.19,23.59,23.23,20.82,0.050083,0.01708,0.013977,0.028299,0.042311,0.03527,0.00994,0.033611,0.01107,0.014579,0.029486,0.044009,0.036711,0.010622
2020-01-03 00:30:00,20.66,20.48,20.52,20.72,20.71,20.95,20.28,20.49,20.32,20.33,20.47,20.45,20.66,19.97,3.35,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.06,23.0,23.0,1673.87,595.53,616.35,1174.11,1852.99,1518.05,572.34,1430.97,486.54,648.83,1230.3,1952.32,1638.81,617.32,27.01,26.66,24.45,25.08,24.52,24.7,21.23,24.82,24.49,24.35,25.02,24.39,24.32,21.1,0.050083,0.01708,0.013977,0.028299,0.042311,0.03527,0.00994,0.033611,0.01107,0.014579,0.029486,0.044009,0.036711,0.010622
2020-01-03 00:45:00,20.89,20.68,20.69,20.93,20.92,21.18,20.47,20.87,20.61,20.64,20.87,20.84,21.13,20.08,3.68,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.47,23.0,23.0,1712.26,610.15,630.68,1199.15,1892.35,1548.22,586.2,1405.66,480.35,641.36,1210.67,1925.08,1589.15,626.9,27.26,26.89,24.64,25.3,24.74,24.93,21.33,25.43,25.06,24.91,25.61,24.97,25.08,21.32,0.050083,0.01708,0.013977,0.028299,0.042311,0.03527,0.00994,0.033611,0.01107,0.014579,0.029486,0.044009,0.036711,0.010622
2020-01-03 01:00:00,21.02,20.81,20.82,21.07,21.06,21.32,20.6,21.18,20.83,20.89,21.16,21.12,21.49,20.19,3.57,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.76,23.0,23.0,1740.99,620.88,640.86,1218.17,1921.99,1571.92,595.69,1382.47,474.59,633.87,1192.26,1898.09,1548.96,632.18,27.42,27.04,24.77,25.44,24.87,25.08,21.4,25.9,25.48,25.34,26.07,25.42,25.65,21.5,0.050083,0.01708,0.013977,0.028299,0.042311,0.03527,0.00994,0.033611,0.01107,0.014579,0.029486,0.044009,0.036711,0.010622
2020-01-03 01:15:00,21.09,20.87,20.91,21.16,21.16,21.43,20.68,21.42,21.03,21.1,21.41,21.38,21.81,20.31,3.47,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1706.48,608.76,635.95,1204.66,1907.45,1558.26,601.33,1365.81,470.57,628.38,1179.29,1878.37,1520.31,636.04,27.83,27.46,25.1,25.8,25.2,25.41,21.51,26.26,25.81,25.67,26.42,25.77,26.08,21.66,0.050083,0.01708,0.013977,0.028299,0.042311,0.03527,0.00994,0.033611,0.01107,0.014579,0.029486,0.044009,0.036711,0.010622
2020-01-03 01:30:00,21.14,20.93,20.99,21.24,21.24,21.5,20.75,21.62,21.2,21.28,21.6,21.57,22.03,20.4,3.36,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1704.74,608.48,635.27,1203.39,1904.9,1555.74,600.79,1330.52,459.86,614.07,1149.34,1832.04,1473.03,630.77,27.86,27.48,25.13,25.83,25.23,25.45,21.54,26.53,26.06,25.92,26.67,26.04,26.4,21.79,0.050083,0.01708,0.013977,0.028299,0.042311,0.03527,0.00994,0.033611,0.01107,0.014579,0.029486,0.044009,0.036711,0.010622
2020-01-03 01:45:00,21.22,21.0,21.08,21.33,21.34,21.6,20.83,21.79,21.34,21.45,21.76,21.74,22.22,20.49,3.26,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1684.88,601.12,627.36,1187.49,1880.14,1531.96,596.97,1301.36,450.99,602.06,1125.01,1793.65,1434.99,625.57,27.95,27.58,25.26,25.96,25.37,25.61,21.63,26.74,26.25,26.12,26.87,26.25,26.65,21.91,0.050083,0.01708,0.013977,0.028299,0.042311,0.03527,0.00994,0.033611,0.01107,0.014579,0.029486,0.044009,0.036711,0.010622
2020-01-03 02:00:00,21.3,21.08,21.18,21.43,21.45,21.71,20.91,21.94,21.48,21.59,21.9,21.88,22.39,20.57,3.16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1664.63,593.64,619.47,1171.54,1855.38,1508.2,593.2,1278.16,443.84,592.2,1105.8,1762.67,1404.65,620.96,28.05,27.69,25.4,26.1,25.51,25.77,21.72,26.9,26.41,26.28,27.03,26.42,26.85,22.01,0.050083,0.01708,0.013977,0.028299,0.042311,0.03527,0.00994,0.033611,0.01107,0.014579,0.029486,0.044009,0.036711,0.010622
2020-01-03 02:15:00,21.37,21.16,21.28,21.53,21.55,21.82,21.0,22.08,21.6,21.73,22.02,22.01,22.53,20.65,3.07,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1644.4,586.16,611.55,1155.53,1830.46,1484.26,589.29,1258.8,437.83,583.87,1089.94,1736.74,1379.7,616.77,28.15,27.79,25.53,26.23,25.65,25.93,21.82,27.04,26.54,26.42,27.16,26.56,27.01,22.11,0.050083,0.01708,0.013977,0.028299,0.042311,0.03527,0.00994,0.033611,0.01107,0.014579,0.029486,0.044009,0.036711,0.010622
