time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,E6,E7,E8,E9,Tret1,Tret2,Tret3,Tret4,Tret5,Tret6,Tret7,Tret8,Tret9,F1,F2,F3,F4,F5,F6,F7,F8,F9
2020-01-03 00:00:00,19.77,19.82,19.82,19.8,19.88,19.82,19.86,19.83,19.85,3.31,0.0,0.452,0.369,0.375,0.434,0.234,0.37,0.267,0.282,0.302,36.0,23.0,23.0,1136.19,165.17,679.34,460.31,398.85,142.94,622.64,516.71,360.7,25.73,23.77,23.42,24.51,22.45,23.85,22.56,22.91,20.47,0.026473,0.00323,0.012915,0.009581,0.007042,0.002814,0.011079,0.009443,0.005555
2020-01-03 00:15:00,20.29,20.31,20.33,20.48,20.47,20.3,20.51,20.38,19.99,3.27,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1869.73,339.05,1403.84,811.36,1242.05,291.99,1687.54,1328.43,1117.09,28.37,26.73,26.24,27.21,26.11,26.83,26.29,26.5,21.47,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 00:30:00,20.71,20.6,20.72,20.88,20.94,20.58,21.05,20.84,20.17,3.23,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1869.27,340.39,1405.94,808.56,1248.32,293.3,1689.16,1334.65,1116.95,28.37,26.69,26.22,27.24,26.06,26.79,26.28,26.46,21.47,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 00:45:00,20.83,20.71,20.87,21.02,21.07,20.69,21.19,20.96,20.28,3.19,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1773.13,326.77,1353.05,771.4,1202.84,281.33,1617.58,1283.71,1110.64,28.76,27.06,26.59,27.64,26.42,27.16,26.69,26.82,21.55,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 01:00:00,20.86,20.79,20.95,21.1,21.16,20.77,21.29,21.04,20.34,3.15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1761.67,325.0,1345.02,765.04,1196.83,279.81,1604.8,1278.54,1108.01,28.81,27.11,26.64,27.71,26.47,27.21,26.76,26.86,21.59,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 01:15:00,20.91,20.87,21.03,21.18,21.24,20.85,21.37,21.11,20.39,3.12,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1754.92,323.61,1338.89,759.89,1191.91,278.62,1593.29,1274.67,1105.79,28.84,27.15,26.69,27.77,26.51,27.25,26.83,26.88,21.62,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 01:30:00,20.96,20.94,21.11,21.26,21.32,20.93,21.45,21.18,20.44,3.08,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1747.43,322.28,1333.03,754.89,1187.55,277.49,1582.4,1271.22,1103.83,28.87,27.19,26.73,27.82,26.54,27.28,26.89,26.91,21.64,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 01:45:00,21.03,21.03,21.19,21.34,21.41,21.01,21.55,21.26,20.49,3.05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1726.03,317.94,1314.35,745.0,1168.22,273.76,1555.66,1252.33,1097.36,28.95,27.3,26.86,27.93,26.69,27.4,27.05,27.04,21.73,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 02:00:00,21.1,21.11,21.28,21.42,21.51,21.09,21.65,21.36,20.55,3.03,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1704.96,313.75,1296.3,735.35,1149.34,270.15,1529.44,1233.81,1090.94,29.04,27.42,26.98,28.03,26.85,27.51,27.2,27.18,21.81,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 02:15:00,21.17,21.2,21.37,21.51,21.61,21.18,21.75,21.45,20.62,3.01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1683.71,309.53,1278.04,725.71,1130.33,266.53,1503.11,1215.1,1084.38,29.13,27.54,27.11,28.14,27.0,27.63,27.35,27.31,21.89,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 02:30:00,21.24,21.29,21.47,21.59,21.71,21.26,21.85,21.54,20.68,2.98,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1662.54,305.31,1259.84,716.12,1111.35,262.9,1476.86,1196.45,1077.75,29.21,27.65,27.24,28.24,27.15,27.74,27.5,27.44,21.98,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 02:45:00,21.3,21.37,21.55,21.67,21.8,21.35,21.94,21.63,20.75,2.96,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1641.48,301.11,1241.7,706.6,1092.43,259.28,1450.71,1177.85,1071.06,29.3,27.77,27.36,28.34,27.3,27.85,27.65,27.58,22.07,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 03:00:00,21.37,21.46,21.64,21.75,21.9,21.43,22.04,21.73,20.82,2.94,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1620.43,296.91,1223.61,697.06,1073.48,255.66,1424.5,1159.21,1064.34,29.38,27.88,27.49,28.45,27.45,27.97,27.8,27.71,22.16,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 03:15:00,21.43,21.53,21.73,21.82,21.98,21.51,22.12,21.8,20.88,2.92,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1611.27,294.92,1214.82,692.64,1064.86,253.97,1413.01,1150.87,1059.81,29.42,27.93,27.55,28.49,27.52,28.02,27.87,27.77,22.21,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 03:30:00,21.48,21.61,21.79,21.88,22.06,21.58,22.2,21.87,20.94,2.9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1602.22,292.89,1205.85,688.23,1056.2,252.23,1401.53,1142.55,1055.29,29.46,27.99,27.61,28.54,27.59,28.08,27.93,27.83,22.27,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 03:45:00,21.52,21.67,21.86,21.94,22.13,21.65,22.26,21.93,20.99,2.88,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1593.62,290.93,1197.35,683.98,1047.87,250.54,1390.52,1134.57,1050.86,29.49,28.04,27.67,28.59,27.65,28.13,28.0,27.89,22.33,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 04:00:00,21.57,21.73,21.92,22.0,22.19,21.71,22.32,21.99,21.05,2.88,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1585.27,289.03,1189.06,679.88,1039.76,248.91,1379.82,1126.78,1046.5,29.53,28.1,27.73,28.63,27.72,28.18,28.06,27.94,22.39,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
2020-01-03 04:15:00,21.61,21.79,21.98,22.05,22.26,21.77,22.38,22.05,21.1,2.88,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1577.08,287.16,1180.96,675.91,1031.83,247.31,1369.38,1119.14,1042.14,29.56,28.15,27.79,28.68,27.78,28.23,28.12,28.0,22.44,0.058599,0.008748,0.034395,0.022077,0.030035,0.007615,0.041569,0.033454,0.018392
