time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9
2020-01-03 00:00:00,19.77,19.82,19.82,19.8,19.88,19.82,19.86,19.83,19.85,3.31,0.0,0.452,0.369,0.375,0.434,0.234,0.37,0.267,0.282,0.302
2020-01-03 00:15:00,20.29,20.31,20.33,20.48,20.47,20.3,20.51,20.38,19.99,3.27,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:30:00,20.71,20.6,20.72,20.88,20.94,20.58,21.05,20.84,20.17,3.23,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:45:00,20.83,20.71,20.87,21.02,21.07,20.69,21.19,20.96,20.28,3.19,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:00:00,20.86,20.79,20.95,21.1,21.16,20.77,21.29,21.04,20.34,3.15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:15:00,20.91,20.87,21.03,21.18,21.24,20.85,21.37,21.11,20.39,3.12,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:30:00,20.96,20.94,21.11,21.26,21.32,20.93,21.45,21.18,20.44,3.08,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:45:00,21.03,21.03,21.19,21.34,21.41,21.01,21.55,21.26,20.49,3.05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:00:00,21.1,21.11,21.28,21.42,21.51,21.09,21.65,21.36,20.55,3.03,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:15:00,21.17,21.2,21.37,21.51,21.61,21.18,21.75,21.45,20.62,3.01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:30:00,21.24,21.29,21.47,21.59,21.71,21.26,21.85,21.54,20.68,2.98,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:45:00,21.3,21.37,21.55,21.67,21.8,21.35,21.94,21.63,20.75,2.96,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:00:00,21.37,21.46,21.64,21.75,21.9,21.43,22.04,21.73,20.82,2.94,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
