time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,Tret1,Tret2,Tret3,Tret4,Tret5,Tret6,Tret7,Tret8,Tret9,Tret10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
2020-01-03 00:00:00,19.75,19.83,19.92,19.87,19.84,19.84,19.87,19.91,19.86,19.85,3.31,0.0,0.47,0.445,0.278,0.343,0.338,0.369,0.338,0.253,0.33,0.3,36.0,23.0,23.0,517.57,1160.7,268.34,723.55,167.04,355.09,751.0,249.42,704.71,154.65,25.6,25.26,22.91,22.94,20.71,24.05,23.38,23.05,23.19,20.77,0.011908,0.025844,0.004904,0.013258,0.002614,0.00711,0.014232,0.004607,0.013161,0.00243
2020-01-03 00:15:00,20.26,20.35,20.56,20.45,20.09,20.11,20.12,20.22,20.11,19.91,3.27,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,846.36,2015.18,704.89,1649.43,455.36,834.66,1952.81,837.9,1888.33,496.68,27.96,27.65,26.38,25.73,21.88,25.59,24.85,24.95,24.64,21.29,0.025331,0.058081,0.017622,0.038608,0.007737,0.019259,0.042079,0.018218,0.03994,0.008103
2020-01-03 00:30:00,20.67,20.76,20.97,20.83,20.42,20.56,20.55,20.75,20.55,20.04,3.23,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,849.87,2026.68,710.66,1658.08,456.02,757.88,1785.92,745.89,1730.66,484.41,27.97,27.65,26.35,25.73,21.9,26.59,25.85,26.21,25.63,21.7,0.025331,0.058081,0.017622,0.038608,0.007737,0.019259,0.042079,0.018218,0.03994,0.008103
2020-01-03 00:45:00,20.82,20.94,21.13,20.99,20.58,20.96,20.93,21.19,20.93,20.18,3.19,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,840.1,2006.97,703.13,1643.33,453.7,709.91,1678.39,689.57,1628.01,474.43,28.07,27.73,26.45,25.82,21.97,27.18,26.46,26.95,26.25,21.99,0.025331,0.058081,0.017622,0.038608,0.007737,0.019259,0.042079,0.018218,0.03994,0.008103
2020-01-03 01:00:00,20.85,20.97,21.2,21.07,20.66,21.2,21.19,21.5,21.19,20.32,3.15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,801.64,1925.43,678.05,1593.48,450.06,680.23,1609.84,654.76,1562.1,466.95,28.43,28.07,26.8,26.13,22.08,27.55,26.85,27.4,26.64,22.21,0.025331,0.058081,0.017622,0.038608,0.007737,0.019259,0.042079,0.018218,0.03994,0.008103
2020-01-03 01:15:00,20.89,21.0,21.27,21.15,20.71,21.41,21.39,21.69,21.38,20.43,3.12,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,796.81,1917.93,673.88,1585.39,448.81,660.21,1561.11,631.08,1515.13,460.88,28.47,28.1,26.85,26.18,22.12,27.8,27.12,27.71,26.92,22.39,0.025331,0.058081,0.017622,0.038608,0.007737,0.019259,0.042079,0.018218,0.03994,0.008103
2020-01-03 01:30:00,20.95,21.05,21.34,21.22,20.78,21.56,21.56,21.87,21.55,20.53,3.08,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,792.53,1912.31,670.17,1578.22,447.67,645.4,1524.87,614.36,1480.07,455.84,28.51,28.12,26.9,26.22,22.16,27.98,27.33,27.93,27.13,22.54,0.025331,0.058081,0.017622,0.038608,0.007737,0.019259,0.042079,0.018218,0.03994,0.008103
2020-01-03 01:45:00,21.02,21.13,21.43,21.32,20.85,21.71,21.7,22.01,21.68,20.62,3.05,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,782.58,1887.65,659.59,1556.05,444.3,634.21,1496.69,601.64,1452.83,451.51,28.61,28.22,27.05,26.36,22.26,28.12,27.49,28.1,27.3,22.67,0.025331,0.058081,0.017622,0.038608,0.007737,0.019259,0.042079,0.018218,0.03994,0.008103
2020-01-03 02:00:00,21.09,21.21,21.52,21.42,20.93,21.82,21.82,22.13,21.81,20.71,3.03,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,772.7,1863.32,649.12,1534.2,441.01,625.1,1473.74,591.7,1430.64,447.68,28.7,28.33,27.19,26.49,22.36,28.24,27.62,28.23,27.43,22.78,0.025331,0.058081,0.017622,0.038608,0.007737,0.019259,0.042079,0.018218,0.03994,0.008103
2020-01-03 02:15:00,21.16,21.29,21.61,21.51,21.02,21.93,21.94,22.24,21.92,20.8,3.01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,762.78,1838.86,638.69,1512.26,437.6,617.53,1454.39,583.5,1411.94,444.24,28.8,28.43,27.33,26.63,22.47,28.33,27.73,28.34,27.54,22.88,0.025331,0.058081,0.017622,0.038608,0.007737,0.019259,0.042079,0.018218,0.03994,0.008103
