,0.0,0.005,0.0101,0.0151,0.0201,0.0251,0.0302,0.0352,0.0402,0.0452,0.0503,0.0553,0.0603,0.0653,0.0704,0.0754,0.0804,0.0854,0.0905,0.0955,0.1005,0.1055,0.1106,0.1156,0.1206,0.1256,0.1307,0.1357,0.1407,0.1457,0.1508,0.1558,0.1608,0.1658,0.1709,0.1759,0.1809,0.1859,0.191,0.196,0.201,0.206,0.2111,0.2161,0.2211,0.2261,0.2312,0.2362,0.2412,0.2462,0.2513,0.2563,0.2613,0.2663,0.2714,0.2764,0.2814,0.2864,0.2915,0.2965,0.3015,0.3065,0.3116,0.3166,0.3216,0.3266,0.3317,0.3367,0.3417,0.3467,0.3518,0.3568,0.3618,0.3668,0.3719,0.3769,0.3819,0.3869,0.392,0.397,0.402,0.407,0.4121,0.4171,0.4221,0.4271,0.4322,0.4372,0.4422,0.4472,0.4523,0.4573,0.4623,0.4673,0.4724,0.4774,0.4824,0.4874,0.4925,0.4975,0.5025,0.5075,0.5126,0.5176,0.5226,0.5276,0.5327,0.5377,0.5427,0.5477,0.5528,0.5578,0.5628,0.5678,0.5729,0.5779,0.5829,0.5879,0.593,0.598,0.603,0.608,0.6131,0.6181,0.6231,0.6281,0.6332,0.6382,0.6432,0.6482,0.6533,0.6583,0.6633,0.6683,0.6734,0.6784,0.6834,0.6884,0.6935,0.6985,0.7035,0.7085,0.7136,0.7186,0.7236,0.7286,0.7337,0.7387,0.7437,0.7487,0.7538,0.7588,0.7638,0.7688,0.7739,0.7789,0.7839,0.7889,0.794,0.799,0.804,0.809,0.8141,0.8191,0.8241,0.8291,0.8342,0.8392,0.8442,0.8492,0.8543,0.8593,0.8643,0.8693,0.8744,0.8794,0.8844,0.8894,0.8945,0.8995,0.9045,0.9095,0.9146,0.9196,0.9246,0.9296,0.9347,0.9397,0.9447,0.9497,0.9548,0.9598,0.9648,0.9698,0.9749,0.9799,0.9849,0.9899,0.995,1.0
2020-01-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 00:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 00:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 01:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 01:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
