time,T1,T2,T3,T4,T5,T_amb,irrad,u1,u2,u3,u4,u5
2020-01-03 00:00:00,20.39,19.82,20.41,20.35,19.92,3.31,0.0,0.0,0.38,0.0,0.0,0.153
2020-01-03 00:15:00,20.58,20.46,20.62,21.0,20.16,3.27,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:30:00,20.64,20.87,20.7,21.43,20.5,3.23,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:45:00,20.73,21.0,20.82,21.54,20.6,3.19,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:00:00,20.75,21.09,20.88,21.62,20.69,3.15,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:15:00,20.78,21.18,20.94,21.69,20.76,3.12,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:30:00,20.8,21.25,21.0,21.75,20.83,3.08,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:45:00,20.82,21.34,21.05,21.83,20.9,3.05,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:00:00,20.83,21.43,21.09,21.91,20.98,3.03,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:15:00,20.86,21.52,21.14,21.99,21.06,3.01,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:30:00,20.88,21.61,21.18,22.06,21.14,2.98,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:45:00,20.9,21.69,21.22,22.14,21.21,2.96,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:00:00,20.93,21.78,21.26,22.21,21.29,2.94,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:15:00,20.96,21.86,21.3,22.29,21.37,2.92,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:30:00,20.99,21.93,21.33,22.36,21.44,2.9,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:45:00,21.02,22.0,21.37,22.41,21.5,2.88,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 04:00:00,21.05,22.06,21.4,22.47,21.56,2.88,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 04:15:00,21.07,22.12,21.43,22.52,21.62,2.88,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 04:30:00,21.1,22.17,21.46,22.56,21.67,2.88,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 04:45:00,21.12,22.23,21.49,22.61,21.72,2.88,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 05:00:00,21.15,22.28,21.53,22.66,21.77,2.88,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 05:15:00,21.18,22.33,21.56,22.7,21.82,2.88,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 05:30:00,21.2,22.37,21.59,22.74,21.87,2.87,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 05:45:00,21.22,22.42,21.61,22.78,21.91,2.87,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 06:00:00,21.24,22.46,21.64,22.81,21.95,2.86,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 06:15:00,21.26,22.5,21.67,22.85,22.0,2.86,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 06:30:00,21.28,22.54,21.69,22.88,22.03,2.85,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 06:45:00,21.3,22.58,21.72,22.91,22.07,2.84,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 07:00:00,21.32,22.61,21.74,22.94,22.11,2.84,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 07:15:00,21.34,22.64,21.76,22.96,22.14,2.83,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 07:30:00,21.35,22.68,21.78,22.99,22.17,2.83,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 07:45:00,21.37,22.71,21.8,23.01,22.21,2.83,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 08:00:00,21.39,22.74,21.82,23.04,22.24,2.86,0.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 08:15:00,20.47,21.86,21.03,22.22,21.8,2.9,3.7,0.0,0.0,0.0,0.0,0.0
2020-01-03 08:30:00,20.11,21.23,20.73,21.96,21.28,2.93,80.6,0.0,0.0,0.0,0.0,0.0
2020-01-03 08:45:00,19.93,21.0,20.69,22.3,21.18,2.97,157.5,0.0,0.0,0.0,0.0,0.0
2020-01-03 09:00:00,19.93,20.87,20.71,22.72,21.21,3.3,234.4,0.034,0.0,0.0,0.0,0.0
2020-01-03 09:15:00,19.92,20.8,20.71,23.2,21.28,3.62,311.4,0.036,0.0,0.0,0.0,0.0
2020-01-03 09:30:00,19.92,20.73,20.64,23.49,21.33,3.95,327.7,0.039,0.0,0.0,0.0,0.0
2020-01-03 09:45:00,19.88,20.65,20.52,23.61,21.35,4.28,344.0,0.039,0.0,0.0,0.0,0.0
2020-01-03 10:00:00,19.9,20.58,20.43,23.76,21.31,4.57,360.3,0.059,0.0,0.0,0.0,0.0
2020-01-03 10:15:00,19.83,20.49,20.31,23.87,21.32,4.85,376.6,0.052,0.0,0.0,0.0,0.0
2020-01-03 10:30:00,19.9,20.44,20.3,24.07,21.27,5.14,396.1,0.086,0.0,0.0,0.0,0.0
2020-01-03 10:45:00,19.86,20.38,20.24,24.24,21.34,5.43,415.6,0.048,0.0,0.0,0.0,0.0
2020-01-03 11:00:00,20.02,20.38,20.29,24.47,21.33,5.69,435.2,0.068,0.0,0.0,0.0,0.0
2020-01-03 11:15:00,20.01,20.35,20.24,24.64,21.44,5.95,454.7,0.0,0.0,0.0,0.0,0.0
2020-01-03 11:30:00,20.2,20.35,20.3,24.83,21.43,6.21,456.9,0.0,0.0,0.0,0.0,0.0
2020-01-03 11:45:00,20.33,20.32,20.25,24.9,21.54,6.47,459.1,0.0,0.0,0.0,0.0,0.0
2020-01-03 12:00:00,20.56,20.34,20.3,25.03,21.53,6.65,461.2,0.0,0.0,0.0,0.0,0.0
2020-01-03 12:15:00,20.74,20.31,20.26,25.06,21.63,6.84,463.4,0.0,0.0,0.0,0.0,0.0
