time,T1,T2,T3,T4,T5,T6,T_amb,irrad,u1,u2,u3,u4,u5,u6,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,E6,Tret1,Tret2,Tret3,Tret4,Tret5,Tret6,F1,F2,F3,F4,F5,F6
2020-01-03 00:00:00,19.64,19.85,19.85,19.74,19.83,19.84,1.87,0.0,0.649,0.32,0.603,0.755,0.308,0.328,36.0,23.0,23.0,878.73,664.85,728.27,590.31,407.28,343.55,28.62,24.91,27.03,28.5,22.96,20.52,0.028491,0.014341,0.019413,0.018824,0.007472,0.005309
2020-01-03 00:15:00,19.91,20.43,20.4,20.27,20.4,20.0,1.56,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1081.53,1366.95,969.63,679.98,990.0,976.02,30.11,28.71,28.8,29.48,26.23,21.58,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 00:30:00,20.03,20.78,20.72,20.48,20.81,20.25,1.24,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1014.24,1313.16,927.93,644.87,964.14,973.56,30.48,28.99,29.11,29.82,26.48,21.61,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 00:45:00,20.08,20.85,20.76,20.54,20.91,20.34,0.93,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1008.99,1289.4,909.8,634.3,954.1,969.11,30.51,29.12,29.24,29.92,26.58,21.68,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 01:00:00,20.1,20.93,20.83,20.59,20.99,20.4,0.88,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1006.98,1275.27,899.3,627.74,949.28,966.43,30.52,29.2,29.32,29.98,26.63,21.72,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 01:15:00,20.14,21.0,20.88,20.65,21.07,20.46,0.82,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1005.98,1261.15,887.95,621.31,944.95,964.23,30.52,29.27,29.41,30.04,26.67,21.75,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 01:30:00,20.16,21.06,20.94,20.7,21.13,20.51,0.77,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1004.44,1247.44,877.46,614.8,940.95,962.33,30.53,29.34,29.48,30.1,26.71,21.78,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 01:45:00,20.19,21.12,20.98,20.74,21.22,20.56,0.71,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,999.3,1239.5,869.71,612.11,929.82,956.95,30.56,29.39,29.54,30.13,26.82,21.86,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 02:00:00,20.21,21.17,21.03,20.78,21.3,20.63,0.65,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,993.99,1231.66,862.36,609.3,918.87,951.61,30.59,29.43,29.6,30.16,26.93,21.94,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 02:15:00,20.24,21.21,21.07,20.81,21.38,20.7,0.58,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,989.05,1224.31,854.89,606.72,908.05,946.14,30.61,29.47,29.65,30.18,27.04,22.02,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 02:30:00,20.26,21.25,21.11,20.84,21.45,20.76,0.52,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,983.94,1217.16,847.77,604.14,897.28,940.62,30.64,29.51,29.7,30.21,27.14,22.1,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 02:45:00,20.29,21.29,21.14,20.88,21.52,20.83,0.46,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,979.08,1210.31,840.58,601.7,886.68,935.08,30.67,29.54,29.76,30.23,27.25,22.18,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 03:00:00,20.31,21.33,21.19,20.91,21.6,20.9,0.44,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,974.08,1203.55,833.57,599.24,876.09,929.51,30.7,29.58,29.81,30.25,27.35,22.26,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 03:15:00,20.34,21.37,21.22,20.94,21.67,20.97,0.42,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,969.08,1196.85,826.45,596.84,865.57,923.91,30.72,29.61,29.86,30.28,27.46,22.35,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 03:30:00,20.36,21.4,21.26,20.96,21.73,21.04,0.39,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,967.02,1193.03,823.74,595.37,860.39,919.91,30.73,29.64,29.88,30.29,27.51,22.41,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 03:45:00,20.39,21.44,21.29,20.99,21.78,21.1,0.37,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,964.98,1189.29,820.9,593.93,855.26,915.93,30.75,29.66,29.9,30.3,27.56,22.47,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 04:00:00,20.4,21.46,21.32,21.01,21.83,21.16,0.34,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,963.02,1185.74,818.29,592.55,850.34,912.03,30.76,29.67,29.92,30.32,27.61,22.52,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 04:15:00,20.42,21.49,21.34,21.03,21.88,21.22,0.32,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,961.2,1182.39,815.75,591.25,845.58,908.19,30.77,29.69,29.94,30.33,27.65,22.58,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 04:30:00,20.43,21.51,21.36,21.05,21.92,21.27,0.29,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,959.42,1179.16,813.34,589.98,840.93,904.39,30.78,29.71,29.96,30.34,27.7,22.64,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 04:45:00,20.44,21.53,21.38,21.07,21.96,21.33,0.26,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,957.71,1176.06,810.96,588.77,836.41,900.62,30.78,29.73,29.98,30.35,27.74,22.69,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
2020-01-03 05:00:00,20.46,21.56,21.41,21.09,22.0,21.39,0.23,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,956.02,1173.02,808.66,587.57,831.96,896.88,30.79,29.74,29.99,30.36,27.79,22.75,0.043934,0.044842,0.032212,0.024945,0.024234,0.01619
