time,T1,T2,T3,T4,T5,T6,T_amb,irrad,u1,u2,u3,u4,u5,u6
2020-01-03 00:00:00,19.64,19.85,19.85,19.74,19.83,19.84,1.87,0.0,0.649,0.32,0.603,0.755,0.308,0.328
2020-01-03 00:15:00,19.91,20.43,20.4,20.27,20.4,20.0,1.56,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:30:00,20.03,20.78,20.72,20.48,20.81,20.25,1.24,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:45:00,20.08,20.85,20.76,20.54,20.91,20.34,0.93,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:00:00,20.1,20.93,20.83,20.59,20.99,20.4,0.88,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:15:00,20.14,21.0,20.88,20.65,21.07,20.46,0.82,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:30:00,20.16,21.06,20.94,20.7,21.13,20.51,0.77,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:45:00,20.19,21.12,20.98,20.74,21.22,20.56,0.71,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:00:00,20.21,21.17,21.03,20.78,21.3,20.63,0.65,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:15:00,20.24,21.21,21.07,20.81,21.38,20.7,0.58,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:30:00,20.26,21.25,21.11,20.84,21.45,20.76,0.52,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:45:00,20.29,21.29,21.14,20.88,21.52,20.83,0.46,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:00:00,20.31,21.33,21.19,20.91,21.6,20.9,0.44,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:15:00,20.34,21.37,21.22,20.94,21.67,20.97,0.42,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:30:00,20.36,21.4,21.26,20.96,21.73,21.04,0.39,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:45:00,20.39,21.44,21.29,20.99,21.78,21.1,0.37,0.0,1.0,1.0,1.0,1.0,1.0,1.0
