time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21
2020-01-03 00:00:00,19.69,19.69,19.78,19.81,19.76,19.96,19.86,19.83,19.82,19.82,19.81,19.89,19.86,19.84,19.83,19.82,19.82,19.81,19.89,19.86,19.84,1.87,0.0,0.174,0.305,1.0,0.274,0.006,0.0,0.271,0.339,0.371,0.36,0.372,0.213,0.279,0.325,0.35,0.361,0.368,0.371,0.225,0.29,0.327
2020-01-03 00:15:00,20.18,20.15,20.19,20.47,20.35,20.59,20.01,20.04,19.99,20.06,20.03,20.14,20.13,19.87,20.04,20.02,20.07,20.05,20.16,20.14,19.89,1.56,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:30:00,20.6,20.5,20.63,20.9,20.92,20.98,20.23,20.4,20.27,20.5,20.41,20.63,20.53,19.97,20.43,20.35,20.53,20.47,20.69,20.61,20.03,1.24,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:45:00,20.71,20.63,20.79,21.07,21.07,21.14,20.42,20.73,20.51,20.82,20.69,21.0,20.82,20.07,20.75,20.63,20.89,20.83,21.13,20.98,20.17,0.93,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:00:00,20.74,20.66,20.8,21.12,21.15,21.19,20.53,20.94,20.69,21.05,20.9,21.27,21.04,20.17,20.98,20.83,21.13,21.07,21.44,21.25,20.31,0.88,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:15:00,20.77,20.67,20.85,21.16,21.21,21.22,20.67,21.16,20.79,21.23,21.04,21.44,21.14,20.25,21.16,20.99,21.31,21.23,21.63,21.4,20.42,0.82,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:30:00,20.82,20.73,20.88,21.22,21.29,21.28,20.76,21.3,20.94,21.38,21.19,21.61,21.3,20.33,21.31,21.15,21.46,21.4,21.82,21.58,20.53,0.77,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:45:00,20.88,20.78,20.95,21.29,21.37,21.34,20.88,21.46,21.02,21.51,21.29,21.73,21.39,20.41,21.45,21.27,21.59,21.52,21.97,21.7,20.63,0.71,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:00:00,20.95,20.85,21.01,21.38,21.46,21.42,20.96,21.59,21.14,21.63,21.41,21.86,21.51,20.48,21.57,21.4,21.7,21.65,22.11,21.83,20.72,0.65,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:15:00,21.01,20.9,21.09,21.46,21.54,21.48,21.06,21.72,21.23,21.74,21.5,21.96,21.59,20.55,21.68,21.51,21.81,21.75,22.22,21.93,20.81,0.58,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
