time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,Tret1,Tret2,Tret3,Tret4,Tret5,Tret6,Tret7,Tret8,Tret9,Tret10,Tret11,Tret12,Tret13,Tret14,Tret15,Tret16,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
2020-01-03 00:00:00,19.54,19.6,20.13,19.82,19.99,18.97,19.72,19.88,19.71,19.82,19.92,19.84,19.72,19.12,19.81,19.85,1.72,0.0,0.437,0.07,0.0,1.0,0.0,1.0,0.153,0.248,0.576,0.368,0.148,0.259,0.542,1.0,0.376,0.307,36.0,23.0,23.0,471.66,25.96,0.0,856.4,0.0,14.36,82.75,194.6,465.23,84.23,326.61,370.5,662.93,12.72,185.23,346.27,27.74,22.51,36.0,29.42,36.0,35.25,21.78,20.37,28.77,24.41,23.62,25.47,28.0,35.35,23.94,20.48,0.013653,0.00046,0.0,0.031143,0.0,0.00458,0.001393,0.002978,0.015387,0.001738,0.006312,0.008415,0.019814,0.004698,0.003673,0.005336
2020-01-03 00:15:00,19.84,20.09,20.87,20.16,20.29,19.33,20.3,19.98,19.85,20.01,20.23,20.17,19.87,19.18,20.0,19.89,1.65,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,703.86,210.53,1195.77,882.96,988.31,14.49,380.29,746.98,694.69,200.36,1630.17,1080.52,1044.08,12.68,437.12,1100.42,30.62,28.37,28.99,29.22,29.22,35.24,26.01,21.11,29.78,25.86,26.84,28.05,29.17,35.35,25.3,20.84,0.031272,0.006602,0.040802,0.031143,0.034893,0.00458,0.009103,0.011998,0.026724,0.004728,0.042586,0.03253,0.036577,0.004698,0.009775,0.017366
2020-01-03 00:30:00,20.05,20.43,21.3,20.54,20.44,19.61,20.61,20.15,20.03,20.31,20.77,20.63,20.09,19.27,20.31,20.01,1.57,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,704.05,211.64,1212.58,888.12,987.67,14.42,381.83,746.79,636.77,181.92,1318.53,914.24,952.56,12.65,400.59,1078.47,30.61,28.33,28.89,29.18,29.23,35.25,25.97,21.11,30.3,26.8,28.59,29.28,29.77,35.36,26.2,21.14,0.031272,0.006602,0.040802,0.031143,0.034893,0.00458,0.009103,0.011998,0.026724,0.004728,0.042586,0.03253,0.036577,0.004698,0.009775,0.017366
2020-01-03 00:45:00,20.15,20.56,21.42,20.67,20.55,19.73,20.76,20.29,20.17,20.54,21.06,20.91,20.25,19.39,20.54,20.15,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,700.23,209.96,1207.08,877.91,984.65,14.35,379.03,744.56,612.7,171.91,1177.57,839.8,911.89,12.6,379.82,1062.04,30.64,28.39,28.92,29.26,29.25,35.25,26.04,21.15,30.52,27.3,29.38,29.82,30.04,35.36,26.7,21.37,0.031272,0.006602,0.040802,0.031143,0.034893,0.00458,0.009103,0.011998,0.026724,0.004728,0.042586,0.03253,0.036577,0.004698,0.009775,0.017366
2020-01-03 01:00:00,20.14,20.62,21.44,20.63,20.55,19.88,20.85,20.38,20.23,20.7,21.24,21.04,20.33,19.45,20.7,20.29,1.47,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,651.04,199.48,1142.39,819.78,927.24,12.84,366.12,741.71,600.41,165.93,1105.34,801.7,890.41,12.52,366.96,1049.02,31.02,28.77,29.3,29.7,29.64,35.33,26.38,21.21,30.63,27.6,29.79,30.1,30.18,35.36,27.02,21.55,0.031272,0.006602,0.040802,0.031143,0.034893,0.00458,0.009103,0.011998,0.026724,0.004728,0.042586,0.03253,0.036577,0.004698,0.009775,0.017366
2020-01-03 01:15:00,20.07,20.49,21.4,20.79,20.55,19.65,20.86,20.44,20.28,20.83,21.35,21.15,20.41,19.49,20.8,20.4,1.45,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,647.76,198.3,1141.94,816.78,925.49,12.66,364.2,740.37,593.69,161.94,1062.98,779.76,877.89,12.52,358.03,1037.91,31.04,28.81,29.3,29.73,29.65,35.34,26.43,21.24,30.69,27.81,30.03,30.27,30.26,35.36,27.24,21.7,0.031272,0.006602,0.040802,0.031143,0.034893,0.00458,0.009103,0.011998,0.026724,0.004728,0.042586,0.03253,0.036577,0.004698,0.009775,0.017366
2020-01-03 01:30:00,20.17,20.67,21.48,20.65,20.61,19.89,20.99,20.5,20.33,20.95,21.45,21.22,20.47,19.54,20.9,20.51,1.42,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,648.76,198.63,1146.83,810.07,926.59,12.77,363.43,738.99,589.1,159.07,1036.29,765.4,869.22,12.5,351.65,1028.3,31.04,28.8,29.28,29.78,29.65,35.33,26.45,21.27,30.73,27.95,30.18,30.37,30.31,35.36,27.39,21.83,0.031272,0.006602,0.040802,0.031143,0.034893,0.00458,0.009103,0.011998,0.026724,0.004728,0.042586,0.03253,0.036577,0.004698,0.009775,0.017366
2020-01-03 01:45:00,20.1,20.57,21.46,20.86,20.63,19.68,20.97,20.56,20.37,21.05,21.53,21.29,20.52,19.58,20.99,20.61,1.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,644.76,195.9,1123.19,806.74,916.3,12.66,358.61,735.81,585.71,156.87,1017.54,755.28,862.73,12.47,346.7,1019.74,31.07,28.9,29.41,29.8,29.72,35.34,26.58,21.33,30.76,28.06,30.28,30.45,30.36,35.37,27.51,21.95,0.031272,0.006602,0.040802,0.031143,0.034893,0.00458,0.009103,0.011998,0.026724,0.004728,0.042586,0.03253,0.036577,0.004698,0.009775,0.017366
2020-01-03 02:00:00,20.22,20.75,21.59,20.71,20.7,19.95,21.14,20.61,20.4,21.14,21.59,21.34,20.57,19.63,21.07,20.7,1.37,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,643.84,194.55,1103.9,796.71,907.7,12.73,355.23,732.64,583.0,155.08,1003.58,747.53,857.5,12.45,342.73,1011.92,31.07,28.95,29.53,29.88,29.78,35.34,26.66,21.39,30.78,28.15,30.36,30.5,30.39,35.37,27.61,22.06,0.031272,0.006602,0.040802,0.031143,0.034893,0.00458,0.009103,0.011998,0.026724,0.004728,0.042586,0.03253,0.036577,0.004698,0.009775,0.017366
2020-01-03 02:15:00,20.14,20.68,21.56,20.94,20.71,19.73,21.09,20.67,20.43,21.23,21.64,21.39,20.61,19.67,21.14,20.79,1.35,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,639.77,191.95,1080.73,793.74,897.83,12.61,350.31,729.5,580.84,153.56,992.65,741.4,853.17,12.42,339.36,1004.68,31.11,29.04,29.66,29.9,29.84,35.34,26.79,21.45,30.8,28.23,30.42,30.55,30.42,35.37,27.69,22.16,0.031272,0.006602,0.040802,0.031143,0.034893,0.00458,0.009103,0.011998,0.026724,0.004728,0.042586,0.03253,0.036577,0.004698,0.009775,0.017366
