time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16
2020-01-03 00:00:00,19.54,19.6,20.13,19.82,19.99,18.97,19.72,19.88,19.71,19.82,19.92,19.84,19.72,19.12,19.81,19.85,1.72,0.0,0.437,0.07,0.0,1.0,0.0,1.0,0.153,0.248,0.576,0.368,0.148,0.259,0.542,1.0,0.376,0.307
2020-01-03 00:15:00,19.84,20.09,20.87,20.16,20.29,19.33,20.3,19.98,19.85,20.01,20.23,20.17,19.87,19.18,20.0,19.89,1.65,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:30:00,20.05,20.43,21.3,20.54,20.44,19.61,20.61,20.15,20.03,20.31,20.77,20.63,20.09,19.27,20.31,20.01,1.57,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:45:00,20.15,20.56,21.42,20.67,20.55,19.73,20.76,20.29,20.17,20.54,21.06,20.91,20.25,19.39,20.54,20.15,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:00:00,20.14,20.62,21.44,20.63,20.55,19.88,20.85,20.38,20.23,20.7,21.24,21.04,20.33,19.45,20.7,20.29,1.47,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:15:00,20.07,20.49,21.4,20.79,20.55,19.65,20.86,20.44,20.28,20.83,21.35,21.15,20.41,19.49,20.8,20.4,1.45,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:30:00,20.17,20.67,21.48,20.65,20.61,19.89,20.99,20.5,20.33,20.95,21.45,21.22,20.47,19.54,20.9,20.51,1.42,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:45:00,20.1,20.57,21.46,20.86,20.63,19.68,20.97,20.56,20.37,21.05,21.53,21.29,20.52,19.58,20.99,20.61,1.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:00:00,20.22,20.75,21.59,20.71,20.7,19.95,21.14,20.61,20.4,21.14,21.59,21.34,20.57,19.63,21.07,20.7,1.37,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:15:00,20.14,20.68,21.56,20.94,20.71,19.73,21.09,20.67,20.43,21.23,21.64,21.39,20.61,19.67,21.14,20.79,1.35,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:30:00,20.27,20.85,21.68,20.78,20.78,20.03,21.28,20.72,20.45,21.31,21.69,21.42,20.64,19.71,21.21,20.88,1.32,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:45:00,20.17,20.78,21.65,21.02,20.79,19.77,21.21,20.77,20.47,21.38,21.73,21.46,20.68,19.75,21.27,20.96,1.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:00:00,20.35,20.95,21.81,20.99,20.92,19.98,21.38,20.82,20.5,21.46,21.78,21.49,20.72,19.8,21.34,21.03,1.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:15:00,20.36,21.02,21.86,20.96,20.93,20.16,21.5,20.88,20.52,21.53,21.82,21.53,20.76,19.83,21.4,21.12,1.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:30:00,20.28,20.96,21.82,21.14,20.93,19.91,21.42,20.92,20.55,21.6,21.86,21.56,20.79,19.88,21.46,21.2,1.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:45:00,20.4,21.07,21.92,20.98,20.99,20.18,21.59,20.97,20.58,21.67,21.9,21.59,20.83,19.91,21.51,21.27,1.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 04:00:00,20.3,21.02,21.87,21.2,20.99,19.94,21.5,21.01,20.6,21.73,21.93,21.62,20.86,19.95,21.56,21.35,1.27,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 04:15:00,20.46,21.15,21.99,21.15,21.1,20.13,21.65,21.05,20.61,21.79,21.96,21.64,20.89,19.99,21.61,21.4,1.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 04:30:00,20.47,21.2,22.01,21.11,21.09,20.29,21.74,21.09,20.63,21.84,21.98,21.65,20.91,20.02,21.66,21.48,1.23,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 04:45:00,20.37,21.13,21.95,21.26,21.08,20.04,21.65,21.13,20.64,21.9,22.0,21.67,20.94,20.06,21.7,21.55,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 05:00:00,20.48,21.23,22.04,21.11,21.13,20.29,21.8,21.17,20.66,21.95,22.03,21.69,20.96,20.09,21.75,21.62,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 05:15:00,20.39,21.17,21.98,21.3,21.13,20.06,21.69,21.2,20.68,22.0,22.05,21.71,20.99,20.12,21.79,21.68,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 05:30:00,20.51,21.28,22.08,21.14,21.18,20.34,21.88,21.24,20.7,22.05,22.07,21.72,21.01,20.15,21.83,21.74,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 05:45:00,20.41,21.22,22.01,21.35,21.18,20.08,21.75,21.27,20.71,22.1,22.1,21.74,21.04,20.19,21.87,21.8,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 06:00:00,20.57,21.34,22.13,21.3,21.27,20.27,21.89,21.31,20.72,22.14,22.11,21.75,21.06,20.22,21.91,21.85,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 06:15:00,20.57,21.38,22.13,21.24,21.26,20.42,21.99,21.35,20.73,22.18,22.13,21.76,21.08,20.25,21.94,21.92,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 06:30:00,20.47,21.31,22.07,21.4,21.24,20.16,21.86,21.37,20.74,22.22,22.14,21.76,21.1,20.28,21.97,21.98,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 06:45:00,20.58,21.4,22.14,21.23,21.28,20.42,22.02,21.41,20.75,22.26,22.15,21.77,21.12,20.3,22.0,22.03,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 07:00:00,20.47,21.32,22.07,21.42,21.27,20.16,21.88,21.43,20.76,22.3,22.17,21.78,21.14,20.33,22.03,22.09,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 07:15:00,20.59,21.44,22.16,21.23,21.3,20.45,22.08,21.46,20.77,22.33,22.18,21.78,21.15,20.36,22.06,22.14,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 07:30:00,20.47,21.34,22.08,21.45,21.29,20.16,21.9,21.49,20.77,22.37,22.18,21.78,21.17,20.38,22.09,22.19,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 07:45:00,20.62,21.46,22.19,21.38,21.38,20.35,22.05,21.51,20.78,22.4,22.2,21.79,21.18,20.41,22.12,22.24,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 08:00:00,20.66,21.51,22.21,21.42,21.42,20.39,22.09,21.54,20.78,22.43,22.21,21.79,21.2,20.44,22.15,22.29,1.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 08:15:00,19.6,20.53,21.25,20.61,20.39,19.92,21.3,21.42,20.48,22.22,21.94,21.5,20.95,20.38,21.97,22.27,1.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 08:30:00,19.64,20.33,21.42,20.21,19.82,19.49,20.73,21.26,20.33,22.02,22.02,21.05,20.58,20.27,21.65,22.18,1.35,153.0,0.2,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 08:45:00,19.99,20.36,22.23,20.35,19.91,19.58,20.7,21.19,20.35,21.9,22.36,20.61,20.32,20.18,21.42,22.08,1.4,300.0,0.181,0.0,0.0,0.0,0.09,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 09:00:00,20.04,20.5,23.29,20.67,19.92,19.8,20.76,21.18,20.47,21.84,22.98,20.34,20.14,20.17,21.23,21.97,1.8,447.0,0.006,0.0,0.0,0.0,0.043,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 09:15:00,20.24,20.65,24.24,20.97,19.99,20.01,20.8,21.28,20.6,21.8,23.78,20.15,20.06,20.24,21.1,21.87,2.2,594.0,0.0,0.0,0.0,0.0,0.042,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 09:30:00,20.29,20.76,24.88,21.12,20.01,20.18,20.85,21.44,20.59,21.71,24.52,19.99,20.03,20.34,21.06,21.78,2.6,635.8,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 09:45:00,20.21,20.72,25.39,21.34,19.98,20.17,20.86,21.6,20.47,21.56,25.21,19.86,20.04,20.47,21.07,21.7,3.0,677.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
2020-01-03 10:00:00,20.21,20.86,25.94,21.38,20.06,20.41,20.95,21.75,20.23,21.39,25.84,19.78,20.05,20.59,21.11,21.62,3.38,719.2,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0
2020-01-03 10:15:00,20.08,20.77,26.32,21.61,20.01,20.34,20.93,21.91,19.96,21.2,26.48,19.77,20.07,20.72,21.15,21.55,3.75,761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.0,0.0,0.0
2020-01-03 10:30:00,20.16,21.0,26.93,21.6,20.12,20.66,21.08,22.06,19.72,21.01,27.05,19.77,20.1,20.84,21.2,21.47,4.12,779.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.117,0.0,0.0,0.0,0.0
2020-01-03 10:45:00,20.18,21.05,27.29,21.87,20.14,20.63,21.13,22.21,19.65,20.87,27.54,19.8,20.15,20.97,21.26,21.41,4.5,798.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.0,0.113,0.0,0.0,0.0,0.0
2020-01-03 11:00:00,20.28,21.19,27.76,22.07,20.23,20.78,21.23,22.36,19.67,20.73,28.04,19.89,20.2,21.1,21.32,21.34,4.8,817.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.101,0.0,0.0,0.0,0.0
2020-01-03 11:15:00,20.37,21.3,28.19,22.39,20.3,20.81,21.33,22.5,19.7,20.61,28.49,20.04,20.26,21.23,21.39,21.27,5.1,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.054,0.0,0.0,0.0,0.0
2020-01-03 11:30:00,20.59,21.66,28.68,22.44,20.48,21.3,21.54,22.63,19.72,20.5,28.89,20.25,20.32,21.35,21.46,21.2,5.4,840.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 11:45:00,20.64,21.71,28.97,22.81,20.54,21.3,21.64,22.75,19.72,20.4,29.23,20.54,20.37,21.46,21.52,21.14,5.7,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 12:00:00,20.67,21.71,29.27,23.16,20.58,21.42,21.68,22.85,19.71,20.29,29.52,21.01,20.42,21.55,21.57,21.07,5.92,849.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 12:15:00,21.01,22.24,29.71,23.26,20.85,21.99,22.03,22.95,19.71,20.2,29.76,21.57,20.47,21.65,21.62,21.01,6.15,854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 12:30:00,21.02,22.21,29.79,23.76,20.9,21.76,22.11,23.03,19.71,20.11,29.92,22.2,20.51,21.74,21.67,20.95,6.37,825.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 12:45:00,21.26,22.61,29.99,23.73,21.09,22.13,22.34,23.09,19.71,20.03,29.99,22.8,20.54,21.8,21.7,20.89,6.6,796.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 13:00:00,21.28,22.6,29.98,24.11,21.14,22.17,22.4,23.12,19.72,19.95,30.0,23.44,20.57,21.85,21.72,20.84,6.7,767.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 13:15:00,21.47,22.89,30.09,24.18,21.3,22.79,22.59,23.14,19.71,19.87,29.94,24.09,20.58,21.88,21.72,20.78,6.8,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.027,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 13:30:00,21.55,22.96,30.14,24.43,21.38,22.79,22.71,23.14,19.71,19.82,29.87,24.8,20.58,21.9,21.72,20.72,6.9,744.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.064,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 13:45:00,21.62,23.06,30.18,24.75,21.46,22.52,22.82,23.13,19.7,19.79,29.78,25.52,20.57,21.91,21.71,20.67,7.0,749.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.089,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 14:00:00,21.84,23.4,30.28,24.75,21.64,23.01,23.03,23.12,19.68,19.77,29.66,26.32,20.56,21.91,21.69,20.61,7.02,754.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.104,0.0,0.0,0.0,0.0,0.0,0.0
