time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12
2020-01-03 00:00:00,19.65,20.56,20.12,19.81,20.49,19.84,19.69,19.87,19.87,19.81,19.81,19.84,1.72,0.0,0.964,0.0,0.0,0.378,0.0,0.317,0.609,0.259,0.268,0.389,0.373,0.313
2020-01-03 00:15:00,19.96,20.99,20.56,20.11,20.81,19.95,19.84,20.32,20.2,19.92,20.08,19.9,1.65,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:30:00,20.21,21.2,20.79,20.25,21.01,20.09,20.01,20.81,20.77,20.07,20.45,20.02,1.57,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 00:45:00,20.3,21.31,20.89,20.38,21.16,20.16,20.14,21.15,20.95,20.18,20.7,20.15,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:00:00,20.29,21.28,20.91,20.46,21.23,20.23,20.2,21.34,21.08,20.27,20.89,20.29,1.47,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:15:00,20.31,21.32,20.93,20.59,21.31,20.28,20.25,21.49,21.17,20.35,21.02,20.4,1.45,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:30:00,20.34,21.37,20.99,20.67,21.39,20.34,20.3,21.61,21.23,20.42,21.15,20.5,1.42,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 01:45:00,20.38,21.42,21.04,20.78,21.48,20.39,20.34,21.72,21.28,20.49,21.26,20.6,1.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:00:00,20.41,21.46,21.09,20.86,21.57,20.44,20.37,21.81,21.32,20.55,21.36,20.69,1.37,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:15:00,20.44,21.49,21.13,20.95,21.63,20.49,20.4,21.88,21.35,20.62,21.45,20.77,1.35,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:30:00,20.46,21.52,21.17,21.02,21.69,20.54,20.42,21.95,21.38,20.68,21.54,20.86,1.32,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 02:45:00,20.49,21.54,21.19,21.1,21.75,20.58,20.44,22.01,21.4,20.74,21.61,20.94,1.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:00:00,20.51,21.57,21.23,21.17,21.8,20.63,20.47,22.08,21.43,20.79,21.69,21.02,1.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:15:00,20.53,21.59,21.26,21.24,21.86,20.67,20.5,22.14,21.45,20.85,21.76,21.1,1.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:30:00,20.56,21.62,21.29,21.31,21.91,20.72,20.53,22.2,21.48,20.9,21.83,21.17,1.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 03:45:00,20.58,21.65,21.32,21.37,21.96,20.76,20.55,22.25,21.5,20.95,21.9,21.25,1.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 04:00:00,20.6,21.67,21.35,21.44,22.01,20.8,20.57,22.3,21.51,21.0,21.96,21.32,1.27,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 04:15:00,20.62,21.68,21.37,21.5,22.05,20.84,20.59,22.34,21.52,21.05,22.02,21.38,1.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 04:30:00,20.63,21.7,21.4,21.55,22.09,20.88,20.6,22.37,21.53,21.1,22.07,21.45,1.23,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 04:45:00,20.65,21.71,21.42,21.61,22.13,20.92,20.62,22.4,21.54,21.15,22.12,21.52,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 05:00:00,20.66,21.73,21.44,21.66,22.17,20.96,20.64,22.44,21.55,21.19,22.18,21.58,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 05:15:00,20.68,21.75,21.46,21.72,22.2,21.0,20.65,22.48,21.56,21.24,22.23,21.64,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 05:30:00,20.7,21.77,21.48,21.77,22.24,21.04,20.67,22.51,21.57,21.28,22.27,21.7,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 05:45:00,20.71,21.78,21.5,21.82,22.27,21.08,20.69,22.54,21.58,21.32,22.32,21.76,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 06:00:00,20.73,21.8,21.52,21.87,22.3,21.12,20.7,22.57,21.58,21.37,22.36,21.82,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 06:15:00,20.74,21.81,21.54,21.91,22.33,21.15,20.71,22.59,21.58,21.41,22.4,21.88,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 06:30:00,20.75,21.82,21.55,21.96,22.36,21.19,20.72,22.61,21.59,21.45,22.44,21.94,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 06:45:00,20.76,21.83,21.57,22.0,22.39,21.22,20.73,22.63,21.59,21.49,22.48,21.99,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 07:00:00,20.77,21.83,21.58,22.04,22.41,21.26,20.74,22.64,21.58,21.53,22.51,22.04,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 07:15:00,20.78,21.84,21.59,22.09,22.43,21.29,20.75,22.66,21.58,21.56,22.54,22.1,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03 07:30:00,20.79,21.85,21.6,22.12,22.46,21.33,20.75,22.67,21.58,21.6,22.58,22.15,1.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
