time,T1,T2,T3,T4,T5,T_amb,irrad,u1,u2,u3,u4,u5,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,Tret1,Tret2,Tret3,Tret4,Tret5,F1,F2,F3,F4,F5
2020-01-03 00:00:00,19.78,19.85,20.72,19.8,19.93,1.72,0.0,0.556,0.349,0.0,0.415,0.121,36.0,23.0,23.0,2615.17,840.27,0.0,999.09,153.54,26.31,23.83,36.0,24.41,20.1,0.064572,0.016514,0.0,0.020628,0.00231
2020-01-03 00:15:00,20.23,20.43,21.34,20.32,20.06,1.65,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3829.82,1797.19,2730.9,1851.84,1181.97,28.11,26.92,26.8,27.08,21.18,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 00:30:00,20.57,20.82,22.01,20.65,20.36,1.57,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3814.15,1802.63,2783.38,1856.45,1182.25,28.14,26.89,26.62,27.06,21.17,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 00:45:00,20.68,20.94,22.18,20.76,20.57,1.5,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3621.64,1724.73,2684.8,1776.37,1175.25,28.54,27.29,26.96,27.45,21.26,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 01:00:00,20.74,21.04,22.26,20.85,20.64,1.47,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3588.97,1713.7,2682.37,1766.12,1171.2,28.61,27.34,26.96,27.5,21.31,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 01:15:00,20.81,21.12,22.31,20.92,20.71,1.45,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3562.3,1704.27,2682.41,1757.76,1168.41,28.66,27.39,26.96,27.54,21.35,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 01:30:00,20.87,21.19,22.35,20.99,20.77,1.42,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3535.59,1695.65,2684.5,1749.99,1165.95,28.72,27.43,26.96,27.57,21.38,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 01:45:00,20.93,21.27,22.43,21.07,20.83,1.4,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3495.54,1670.7,2633.37,1726.76,1158.15,28.8,27.56,27.13,27.69,21.48,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 02:00:00,21.0,21.35,22.53,21.15,20.9,1.37,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3456.41,1646.5,2583.56,1704.21,1150.54,28.88,27.68,27.3,27.79,21.57,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 02:15:00,21.06,21.43,22.62,21.23,20.98,1.35,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3417.74,1622.45,2533.04,1681.76,1142.73,28.96,27.8,27.47,27.9,21.67,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 02:30:00,21.12,21.51,22.72,21.31,21.05,1.32,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3379.49,1598.52,2482.44,1659.45,1134.85,29.04,27.93,27.64,28.01,21.77,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 02:45:00,21.18,21.59,22.81,21.38,21.13,1.3,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3341.63,1574.72,2431.62,1637.28,1126.92,29.12,28.05,27.81,28.12,21.87,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 03:00:00,21.24,21.67,22.91,21.46,21.21,1.3,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3303.68,1550.83,2380.62,1615.04,1118.95,29.2,28.17,27.98,28.22,21.97,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 03:15:00,21.3,21.74,22.99,21.53,21.28,1.3,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3285.95,1540.45,2361.09,1604.88,1113.48,29.23,28.22,28.05,28.27,22.04,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 03:30:00,21.34,21.8,23.05,21.59,21.35,1.3,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3268.4,1529.96,2341.45,1594.68,1107.95,29.27,28.27,28.11,28.32,22.11,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 03:45:00,21.39,21.86,23.12,21.65,21.42,1.3,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3251.67,1519.83,2322.7,1584.79,1102.58,29.3,28.32,28.18,28.37,22.17,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 04:00:00,21.42,21.92,23.17,21.7,21.48,1.27,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3235.55,1510.03,2304.55,1575.21,1097.31,29.34,28.37,28.24,28.42,22.24,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 04:15:00,21.46,21.97,23.22,21.76,21.54,1.25,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3220.24,1500.57,2287.03,1565.95,1092.1,29.37,28.42,28.3,28.46,22.3,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 04:30:00,21.49,22.02,23.27,21.81,21.6,1.23,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3205.41,1491.31,2269.71,1556.87,1086.97,29.4,28.47,28.35,28.5,22.37,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 04:45:00,21.52,22.06,23.31,21.85,21.65,1.2,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3195.32,1485.16,2259.66,1550.57,1082.69,29.42,28.5,28.39,28.53,22.42,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 05:00:00,21.55,22.11,23.35,21.9,21.7,1.2,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3185.46,1479.03,2249.72,1544.32,1078.47,29.44,28.53,28.42,28.56,22.47,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 05:15:00,21.58,22.15,23.39,21.94,21.75,1.2,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3175.39,1472.96,2239.98,1538.14,1074.38,29.46,28.56,28.46,28.59,22.53,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 05:30:00,21.61,22.19,23.43,21.98,21.8,1.2,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3165.5,1467.02,2230.48,1532.08,1070.36,29.48,28.59,28.49,28.62,22.58,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 05:45:00,21.64,22.23,23.47,22.02,21.85,1.2,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3155.85,1461.2,2221.16,1526.16,1066.37,29.5,28.62,28.52,28.65,22.63,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 06:00:00,21.66,22.26,23.5,22.06,21.89,1.2,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3146.51,1455.58,2212.16,1520.41,1062.44,29.52,28.65,28.55,28.68,22.68,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 06:15:00,21.68,22.3,23.53,22.09,21.93,1.2,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3139.04,1451.19,2205.74,1515.75,1058.98,29.53,28.67,28.57,28.7,22.72,0.116146,0.047359,0.071025,0.049689,0.019076
2020-01-03 06:30:00,21.71,22.33,23.55,22.13,21.97,1.2,0.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,3131.79,1446.9,2199.51,1511.19,1055.58,29.55,28.69,28.59,28.72,22.76,0.116146,0.047359,0.071025,0.049689,0.019076
