time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,u22,u23,u24,u25,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,Tret1,Tret2,Tret3,Tret4,Tret5,Tret6,Tret7,Tret8,Tret9,Tret10,Tret11,Tret12,Tret13,Tret14,Tret15,Tret16,Tret17,Tret18,Tret19,Tret20,Tret21,Tret22,Tret23,Tret24,Tret25,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25
2020-01-03 00:00:00,19.75,19.74,19.82,19.76,19.7,19.76,19.79,19.84,19.84,19.84,19.76,19.79,19.87,19.84,19.83,19.77,19.8,19.86,19.84,19.82,19.76,19.79,19.86,19.83,19.81,-0.63,0.0,0.776,0.621,0.692,0.573,0.477,0.51,0.443,0.35,0.38,0.306,0.508,0.447,0.313,0.377,0.328,0.51,0.446,0.323,0.375,0.367,0.522,0.462,0.324,0.386,0.382,36.0,23.0,23.0,583.08,1040.7,537.32,971.23,402.3,325.22,573.74,235.45,494.11,95.39,325.93,580.94,216.31,494.08,101.98,326.86,581.61,221.82,493.65,113.59,347.04,632.94,233.1,536.95,150.87,26.27,25.35,25.79,25.03,23.36,23.99,23.06,23.06,22.68,20.55,23.99,23.09,22.8,22.67,20.59,24.03,23.09,22.9,22.68,20.67,24.25,23.33,23.01,22.85,20.92,0.014337,0.023374,0.012593,0.021182,0.007612,0.006478,0.010608,0.004353,0.008875,0.001477,0.00649,0.010762,0.003921,0.008867,0.001583,0.006534,0.010782,0.004052,0.008864,0.001773,0.007064,0.011956,0.004292,0.009772,0.002393
2020-01-03 00:15:00,19.91,20.01,20.04,20.05,19.92,19.9,19.99,20.09,20.07,19.9,19.9,19.99,20.15,20.09,19.89,19.99,19.99,20.11,20.08,19.87,19.98,19.98,20.16,20.09,19.88,-0.49,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.66,23.0,23.0,652.38,1413.56,657.18,1414.09,727.99,549.78,1125.42,564.52,1121.76,286.15,552.25,1129.18,575.32,1128.22,285.73,551.2,1131.62,573.3,1132.15,285.01,569.97,1184.92,597.17,1192.22,361.6,26.67,26.13,26.48,25.98,24.2,24.77,23.89,24.27,23.64,20.92,24.78,23.91,24.13,23.64,20.94,24.83,23.92,24.2,23.65,20.99,25.04,24.16,24.35,23.86,21.32,0.018465,0.037617,0.01819,0.036996,0.015946,0.01271,0.023965,0.012439,0.023365,0.004818,0.012768,0.024085,0.01252,0.023501,0.004819,0.01281,0.024167,0.012556,0.023616,0.004826,0.013522,0.025865,0.013264,0.02532,0.006267
2020-01-03 00:30:00,20.05,20.13,20.19,20.18,20.07,20.19,20.22,20.4,20.34,20.1,20.2,20.21,20.41,20.33,20.09,20.24,20.23,20.44,20.36,19.95,20.23,20.22,20.43,20.33,19.99,-0.34,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.22,23.0,23.0,647.57,1410.27,650.4,1409.18,729.07,522.01,1068.21,522.2,1056.78,281.21,524.09,1072.18,528.29,1061.91,281.03,522.44,1074.07,527.37,1064.99,280.81,539.91,1123.38,546.87,1118.48,354.57,26.8,26.22,26.63,26.08,24.25,25.36,24.52,25.14,24.37,21.23,25.37,24.54,25.09,24.38,21.24,25.43,24.56,25.14,24.4,21.27,25.64,24.8,25.32,24.62,21.65,0.018465,0.037617,0.01819,0.036996,0.015946,0.01271,0.023965,0.012439,0.023365,0.004818,0.012768,0.024085,0.01252,0.023501,0.004819,0.01281,0.024167,0.012556,0.023616,0.004826,0.013522,0.025865,0.013264,0.02532,0.006267
2020-01-03 00:45:00,20.16,20.25,20.32,20.29,20.15,20.42,20.49,20.73,20.62,20.23,20.44,20.46,20.73,20.6,20.23,20.48,20.5,20.79,20.65,20.06,20.48,20.48,20.76,20.62,20.12,-0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.6,23.0,23.0,665.62,1456.04,665.92,1452.7,754.39,526.16,1073.94,518.06,1056.74,286.46,528.02,1078.4,522.06,1061.73,286.43,526.8,1079.89,521.32,1064.0,286.82,544.62,1129.82,540.1,1117.02,361.22,27.07,26.43,26.94,26.3,24.38,25.79,24.97,25.73,24.87,21.47,25.8,24.98,25.72,24.89,21.48,25.86,25.0,25.76,24.92,21.48,26.06,25.24,25.95,25.14,21.9,0.018465,0.037617,0.01819,0.036996,0.015946,0.01271,0.023965,0.012439,0.023365,0.004818,0.012768,0.024085,0.01252,0.023501,0.004819,0.01281,0.024167,0.012556,0.023616,0.004826,0.013522,0.025865,0.013264,0.02532,0.006267
2020-01-03 01:00:00,20.26,20.34,20.41,20.39,20.25,20.62,20.66,20.91,20.8,20.43,20.65,20.62,20.86,20.76,20.43,20.66,20.67,20.97,20.84,20.15,20.66,20.63,20.89,20.78,20.23,-0.32,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.94,23.0,23.0,673.2,1466.29,670.29,1459.74,759.83,523.38,1066.04,509.6,1045.49,288.06,525.01,1070.8,512.14,1050.21,288.14,523.68,1071.83,511.59,1051.99,288.91,541.35,1121.38,529.48,1103.59,362.99,27.25,26.65,27.16,26.53,24.57,26.12,25.33,26.17,25.27,21.67,26.14,25.34,26.19,25.28,21.67,26.19,25.36,26.23,25.32,21.65,26.4,25.6,26.42,25.55,22.12,0.018465,0.037617,0.01819,0.036996,0.015946,0.01271,0.023965,0.012439,0.023365,0.004818,0.012768,0.024085,0.01252,0.023501,0.004819,0.01281,0.024167,0.012556,0.023616,0.004826,0.013522,0.025865,0.013264,0.02532,0.006267
2020-01-03 01:15:00,20.33,20.44,20.5,20.49,20.35,20.78,20.83,21.12,20.98,20.53,20.82,20.79,21.08,20.94,20.53,20.81,20.84,21.18,21.02,20.23,20.81,20.81,21.12,20.97,20.33,-0.44,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,667.15,1447.77,661.36,1438.19,750.91,512.07,1042.86,495.41,1020.32,285.06,513.51,1047.96,497.37,1025.16,285.19,512.44,1048.46,496.5,1026.14,286.52,529.6,1096.9,513.93,1076.18,359.15,27.35,26.79,27.3,26.7,24.73,26.36,25.59,26.47,25.55,21.84,26.37,25.59,26.49,25.56,21.84,26.43,25.62,26.54,25.6,21.79,26.63,25.85,26.73,25.83,22.28,0.018465,0.037617,0.01819,0.036996,0.015946,0.01271,0.023965,0.012439,0.023365,0.004818,0.012768,0.024085,0.01252,0.023501,0.004819,0.01281,0.024167,0.012556,0.023616,0.004826,0.013522,0.025865,0.013264,0.02532,0.006267
2020-01-03 01:30:00,20.4,20.52,20.58,20.58,20.44,20.94,20.97,21.26,21.12,20.69,20.97,20.91,21.17,21.07,20.7,20.93,20.98,21.33,21.16,20.31,20.92,20.93,21.21,21.1,20.43,-0.55,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,659.29,1425.27,650.4,1412.69,740.37,503.16,1023.93,484.29,1000.03,282.31,504.42,1029.16,485.68,1004.8,282.47,503.63,1029.36,484.78,1005.37,284.23,520.51,1076.92,501.69,1054.1,355.6,27.46,26.94,27.45,26.86,24.89,26.53,25.78,26.69,25.76,21.98,26.55,25.78,26.72,25.77,21.98,26.59,25.81,26.76,25.82,21.91,26.79,26.04,26.95,26.04,22.42,0.018465,0.037617,0.01819,0.036996,0.015946,0.01271,0.023965,0.012439,0.023365,0.004818,0.012768,0.024085,0.01252,0.023501,0.004819,0.01281,0.024167,0.012556,0.023616,0.004826,0.013522,0.025865,0.013264,0.02532,0.006267
2020-01-03 01:45:00,20.45,20.59,20.65,20.65,20.52,21.06,21.09,21.39,21.25,20.78,21.1,21.04,21.33,21.2,20.78,21.03,21.11,21.47,21.29,20.38,21.02,21.05,21.37,21.23,20.52,-0.67,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,653.72,1410.48,643.39,1396.69,733.04,495.97,1008.77,475.86,983.88,279.71,497.09,1014.31,477.24,988.89,279.89,496.77,1014.06,475.93,988.86,282.18,513.51,1061.34,493.0,1037.08,352.47,27.53,27.03,27.54,26.97,25.0,26.66,25.93,26.85,25.93,22.11,26.69,25.92,26.88,25.93,22.11,26.72,25.96,26.93,25.98,22.01,26.91,26.18,27.11,26.2,22.54,0.018465,0.037617,0.01819,0.036996,0.015946,0.01271,0.023965,0.012439,0.023365,0.004818,0.012768,0.024085,0.01252,0.023501,0.004819,0.01281,0.024167,0.012556,0.023616,0.004826,0.013522,0.025865,0.013264,0.02532,0.006267
2020-01-03 02:00:00,20.49,20.65,20.71,20.72,20.59,21.17,21.2,21.5,21.36,20.9,21.22,21.13,21.4,21.3,20.91,21.12,21.21,21.58,21.4,20.46,21.1,21.14,21.44,21.32,20.6,-0.79,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,648.2,1395.88,636.44,1380.87,725.75,490.23,996.33,469.18,970.72,277.45,491.22,1001.96,470.31,975.76,277.65,491.33,1001.5,468.91,975.42,280.37,508.06,1048.52,485.9,1023.17,349.71,27.6,27.12,27.63,27.07,25.11,26.77,26.05,26.98,26.06,22.22,26.8,26.05,27.01,26.07,22.22,26.82,26.09,27.07,26.12,22.1,27.01,26.3,27.24,26.33,22.65,0.018465,0.037617,0.01819,0.036996,0.015946,0.01271,0.023965,0.012439,0.023365,0.004818,0.012768,0.024085,0.01252,0.023501,0.004819,0.01281,0.024167,0.012556,0.023616,0.004826,0.013522,0.025865,0.013264,0.02532,0.006267
2020-01-03 02:15:00,20.54,20.71,20.76,20.78,20.66,21.27,21.29,21.59,21.46,20.98,21.31,21.23,21.52,21.4,20.98,21.2,21.31,21.68,21.5,20.53,21.17,21.24,21.55,21.42,20.68,-0.91,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,642.77,1381.53,629.64,1365.31,718.53,485.41,985.89,463.83,959.74,275.31,486.28,991.75,465.03,965.0,275.51,486.86,990.96,463.3,964.22,278.71,503.66,1038.08,480.61,1011.97,347.22,27.67,27.21,27.72,27.17,25.22,26.86,26.16,27.08,26.17,22.33,26.89,26.15,27.11,26.18,22.32,26.91,26.19,27.17,26.23,22.18,27.09,26.4,27.33,26.44,22.74,0.018465,0.037617,0.01819,0.036996,0.015946,0.01271,0.023965,0.012439,0.023365,0.004818,0.012768,0.024085,0.01252,0.023501,0.004819,0.01281,0.024167,0.012556,0.023616,0.004826,0.013522,0.025865,0.013264,0.02532,0.006267
