time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,Tret1,Tret2,Tret3,Tret4,Tret5,Tret6,Tret7,Tret8,Tret9,Tret10,Tret11,Tret12,Tret13,Tret14,Tret15,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
2020-01-03 00:00:00,19.82,19.83,19.77,19.88,19.83,19.92,19.84,19.85,19.89,19.85,19.93,19.83,19.84,19.91,19.84,2.7,0.0,0.42,0.539,0.444,0.313,0.345,0.196,0.36,0.343,0.277,0.308,0.0,0.374,0.351,0.236,0.319,36.0,23.0,23.0,821.05,660.64,867.53,276.95,84.56,265.17,321.79,453.12,248.76,74.07,0.0,358.24,502.38,231.99,97.97,23.96,24.6,24.08,21.78,20.48,21.33,22.28,21.99,21.89,20.58,36.0,22.44,22.16,21.78,20.8,0.016316,0.013864,0.017412,0.004658,0.001303,0.004323,0.005609,0.007735,0.004216,0.001149,0.0,0.006321,0.008686,0.003903,0.001542
2020-01-03 00:15:00,20.17,20.17,20.09,20.22,19.93,20.11,20.03,20.03,20.08,19.89,20.12,20.03,20.03,20.15,19.9,3.03,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0,23.0,23.0,1449.85,926.85,1459.92,686.05,206.41,1074.28,711.88,1060.73,710.0,204.4,1208.33,759.65,1142.43,769.06,258.83,25.06,25.38,25.1,22.98,20.93,22.34,23.06,22.74,22.82,20.91,22.09,23.25,22.95,22.88,21.2,0.038803,0.025729,0.039247,0.014897,0.003779,0.022047,0.015569,0.022527,0.015197,0.003736,0.024266,0.01691,0.024735,0.016544,0.004839
2020-01-03 00:30:00,20.39,20.39,20.32,20.48,20.08,20.49,20.3,20.33,20.39,19.98,20.58,20.36,20.35,20.57,20.02,3.35,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.22,23.0,23.0,1468.6,934.97,1479.63,694.03,209.16,1018.91,684.11,1022.61,675.93,203.17,1120.2,727.86,1097.53,723.52,255.97,25.15,25.51,25.18,23.06,20.96,23.15,23.69,23.34,23.56,21.19,23.16,23.9,23.59,23.74,21.55,0.038803,0.025729,0.039247,0.014897,0.003779,0.022047,0.015569,0.022527,0.015197,0.003736,0.024266,0.01691,0.024735,0.016544,0.004839
2020-01-03 00:45:00,20.51,20.52,20.45,20.6,20.23,20.84,20.53,20.59,20.66,20.08,21.05,20.66,20.63,20.96,20.14,3.68,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.56,23.0,23.0,1506.01,956.25,1518.1,709.38,213.86,998.96,678.01,1014.29,665.54,205.27,1081.73,719.59,1086.37,706.27,257.78,25.26,25.65,25.29,23.15,21.01,23.7,24.13,23.77,24.07,21.4,23.88,24.36,24.04,24.33,21.8,0.038803,0.025729,0.039247,0.014897,0.003779,0.022047,0.015569,0.022527,0.015197,0.003736,0.024266,0.01691,0.024735,0.016544,0.004839
2020-01-03 01:00:00,20.63,20.64,20.57,20.73,20.38,21.11,20.72,20.8,20.87,20.17,21.41,20.9,20.86,21.25,20.25,3.57,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.9,23.0,23.0,1517.6,967.22,1531.7,713.5,217.17,989.91,677.44,1013.46,661.99,207.89,1060.41,717.28,1083.84,697.79,260.42,25.53,25.89,25.55,23.43,21.14,24.14,24.48,24.12,24.46,21.57,24.43,24.74,24.4,24.8,22.01,0.038803,0.025729,0.039247,0.014897,0.003779,0.022047,0.015569,0.022527,0.015197,0.003736,0.024266,0.01691,0.024735,0.016544,0.004839
2020-01-03 01:15:00,20.79,20.78,20.71,20.89,20.47,21.34,20.9,21.01,21.06,20.26,21.72,21.11,21.07,21.49,20.37,3.47,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.21,23.0,23.0,1538.51,983.95,1554.46,722.35,221.96,997.02,686.64,1026.7,668.96,212.42,1060.49,725.74,1097.1,701.88,265.63,25.85,26.18,25.86,23.73,21.28,24.51,24.78,24.43,24.8,21.73,24.88,25.07,24.72,25.18,22.2,0.038803,0.025729,0.039247,0.014897,0.003779,0.022047,0.015569,0.022527,0.015197,0.003736,0.024266,0.01691,0.024735,0.016544,0.004839
2020-01-03 01:30:00,20.93,20.91,20.86,21.03,20.63,21.54,21.03,21.18,21.18,20.35,21.95,21.3,21.25,21.7,20.47,3.36,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.48,23.0,23.0,1542.68,990.18,1560.82,723.4,224.52,994.0,687.4,1027.62,668.28,214.6,1051.12,725.44,1097.1,698.53,267.87,26.1,26.41,26.1,24.0,21.4,24.83,25.05,24.7,25.09,21.87,25.25,25.35,25.0,25.51,22.37,0.038803,0.025729,0.039247,0.014897,0.003779,0.022047,0.015569,0.022527,0.015197,0.003736,0.024266,0.01691,0.024735,0.016544,0.004839
2020-01-03 01:45:00,21.06,21.03,20.98,21.17,20.71,21.72,21.19,21.35,21.36,20.43,22.15,21.47,21.42,21.88,20.57,3.26,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.72,23.0,23.0,1549.62,996.27,1568.77,726.1,226.56,991.25,688.18,1027.85,668.08,216.36,1043.91,724.89,1096.65,695.85,269.63,26.3,26.59,26.29,24.19,21.51,25.1,25.28,24.94,25.34,22.0,25.56,25.6,25.25,25.79,22.52,0.038803,0.025729,0.039247,0.014897,0.003779,0.022047,0.015569,0.022527,0.015197,0.003736,0.024266,0.01691,0.024735,0.016544,0.004839
2020-01-03 02:00:00,21.17,21.14,21.1,21.29,20.85,21.89,21.31,21.5,21.47,20.51,22.33,21.63,21.57,22.05,20.67,3.16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.91,23.0,23.0,1542.59,993.25,1562.57,722.9,227.01,981.82,683.56,1020.55,662.83,216.54,1030.71,719.03,1088.29,688.56,269.42,26.47,26.75,26.46,24.37,21.61,25.33,25.48,25.14,25.55,22.12,25.82,25.81,25.46,26.02,22.66,0.038803,0.025729,0.039247,0.014897,0.003779,0.022047,0.015569,0.022527,0.015197,0.003736,0.024266,0.01691,0.024735,0.016544,0.004839
2020-01-03 02:15:00,21.28,21.24,21.2,21.4,20.94,22.04,21.44,21.64,21.61,20.59,22.48,21.77,21.71,22.19,20.76,3.07,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,1521.82,981.3,1542.52,713.91,225.67,965.75,674.3,1005.94,653.29,215.17,1011.24,708.1,1072.27,676.74,267.27,26.61,26.87,26.59,24.53,21.71,25.51,25.63,25.31,25.71,22.22,26.02,25.98,25.62,26.21,22.78,0.038803,0.025729,0.039247,0.014897,0.003779,0.022047,0.015569,0.022527,0.015197,0.003736,0.024266,0.01691,0.024735,0.016544,0.004839
