time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T_amb,irrad,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,T_sup,T_lb,T_ub,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,Tret1,Tret2,Tret3,Tret4,Tret5,Tret6,Tret7,Tret8,Tret9,Tret10,Tret11,Tret12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
2020-01-03 00:00:00,19.79,20.3,19.88,19.84,19.82,19.85,19.84,19.84,19.92,19.85,19.83,19.85,2.7,0.0,0.906,0.0,0.179,0.313,0.339,0.308,0.305,0.304,0.159,0.309,0.338,0.307,36.0,23.0,23.0,2226.99,0.0,411.4,146.48,81.09,131.33,739.03,625.74,393.47,181.61,82.34,168.56,27.35,36.0,21.69,20.51,22.84,20.44,22.85,22.97,21.77,20.75,23.52,20.67,0.061569,0.0,0.006876,0.002263,0.001474,0.002019,0.013441,0.011486,0.006617,0.00285,0.001578,0.00263
2020-01-03 00:15:00,20.4,20.65,20.52,19.99,20.27,19.98,20.09,20.1,20.2,19.9,19.99,19.9,3.03,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.34,23.0,23.0,2295.88,1884.52,1664.31,418.97,178.14,383.36,2070.52,1752.75,2080.45,543.76,205.53,510.19,27.25,27.48,24.95,21.49,25.54,21.32,24.08,24.23,23.4,21.23,24.8,21.1,0.067974,0.057435,0.038343,0.00724,0.004352,0.006547,0.044028,0.037762,0.04173,0.009223,0.004671,0.008578
2020-01-03 00:30:00,20.79,20.93,21.06,20.15,20.67,20.13,20.57,20.57,20.75,20.03,20.23,20.02,3.35,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.94,23.0,23.0,2380.81,1941.44,1728.49,434.91,185.39,397.88,1996.42,1686.71,1962.47,550.77,198.09,517.7,27.54,27.83,25.13,21.55,25.73,21.38,25.07,25.23,24.67,21.63,25.77,21.48,0.067974,0.057435,0.038343,0.00724,0.004352,0.006547,0.044028,0.037762,0.04173,0.009223,0.004671,0.008578
2020-01-03 00:45:00,21.02,21.15,21.3,20.25,20.87,20.22,21.02,21.04,21.33,20.18,20.39,20.17,3.68,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,2380.8,1936.55,1722.92,436.0,185.21,398.92,1895.39,1599.21,1836.57,542.65,188.85,510.75,27.62,27.93,25.25,21.59,25.82,21.42,25.7,25.87,25.47,21.92,26.33,21.76,0.067974,0.057435,0.038343,0.00724,0.004352,0.006547,0.044028,0.037762,0.04173,0.009223,0.004671,0.008578
2020-01-03 01:00:00,21.12,21.26,21.44,20.32,21.01,20.28,21.36,21.39,21.76,20.32,20.51,20.31,3.57,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,2369.49,1920.1,1711.21,434.97,184.11,398.08,1813.09,1528.32,1737.77,533.83,182.02,502.93,27.66,28.0,25.32,21.63,25.88,21.45,26.15,26.32,26.04,22.15,26.68,21.97,0.067974,0.057435,0.038343,0.00724,0.004352,0.006547,0.044028,0.037762,0.04173,0.009223,0.004671,0.008578
2020-01-03 01:15:00,21.13,21.28,21.52,20.38,21.08,20.33,21.62,21.65,22.1,20.46,20.6,20.45,3.47,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,2279.35,1839.22,1666.59,432.46,177.8,396.15,1756.22,1479.79,1669.31,526.88,177.63,496.7,27.98,28.34,25.6,21.71,26.23,21.52,26.46,26.63,26.43,22.33,26.9,22.15,0.067974,0.057435,0.038343,0.00724,0.004352,0.006547,0.044028,0.037762,0.04173,0.009223,0.004671,0.008578
2020-01-03 01:30:00,21.16,21.32,21.58,20.44,21.16,20.38,21.81,21.84,22.33,20.57,20.67,20.55,3.36,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,2275.17,1829.02,1659.0,431.61,176.99,395.43,1712.1,1442.42,1616.59,520.96,174.51,491.36,27.99,28.38,25.65,21.74,26.27,21.55,26.7,26.86,26.73,22.49,27.06,22.3,0.067974,0.057435,0.038343,0.00724,0.004352,0.006547,0.044028,0.037762,0.04173,0.009223,0.004671,0.008578
2020-01-03 01:45:00,21.23,21.39,21.66,20.5,21.23,20.43,21.98,22.0,22.52,20.67,20.75,20.66,3.26,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,2246.86,1812.02,1638.48,429.29,174.94,393.51,1677.23,1413.08,1575.6,515.84,172.2,486.7,28.09,28.45,25.78,21.81,26.38,21.62,26.89,27.05,26.97,22.62,27.18,22.43,0.067974,0.057435,0.038343,0.00724,0.004352,0.006547,0.044028,0.037762,0.04173,0.009223,0.004671,0.008578
2020-01-03 02:00:00,21.31,21.45,21.76,20.56,21.33,20.48,22.13,22.15,22.69,20.77,20.82,20.76,3.16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,2218.19,1794.74,1617.82,427.0,173.0,391.61,1648.42,1388.98,1542.25,511.27,170.35,482.52,28.19,28.52,25.91,21.89,26.49,21.69,27.04,27.2,27.16,22.74,27.27,22.54,0.067974,0.057435,0.038343,0.00724,0.004352,0.006547,0.044028,0.037762,0.04173,0.009223,0.004671,0.008578
2020-01-03 02:15:00,21.39,21.52,21.85,20.62,21.42,20.54,22.27,22.28,22.85,20.86,20.89,20.85,3.07,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,23.0,2188.96,1777.4,1597.08,424.68,170.97,389.67,1623.79,1368.47,1514.2,507.11,168.81,478.69,28.3,28.6,26.04,21.97,26.6,21.76,27.18,27.33,27.32,22.85,27.35,22.65,0.067974,0.057435,0.038343,0.00724,0.004352,0.006547,0.044028,0.037762,0.04173,0.009223,0.004671,0.008578
